Tweet,Sentimen,Tweet Length
Wah gelo baru berapa hari ganti kabinet mentri2 yg ga capable udh keliatan aja kaga pernah mikirnya takut bgt,negatif,19
 Jangan kan October tidak akan dapat selama nya Krn Prabowo sdh katakan dr mana uangnya sedangkan utan yg dibayar setiap hari 1 triliun aneh nya kabinet nya bisa bengkak begitu banyak orangnya nah dr mana tuh duit bayar gajinya,negatif,40
 Gibran langsungblusukan kasih makan siang gratis prabowo langsung mau jalankan di sidang kabinet spt masih dibawah tekanan dan ada yang mengatur beliau,negatif,23
Banyak yang menduga Pelantikan Luhut Binsar Panjaitan di kabinet ada misi khusus utang budi bayar bodi  Jaminan investasi China di Indonesia,negatif,22
Sidang Kabinet Paripurna Prabowo Ungkap Sejumlah Tujuan Utama Pemerintah Sesuai UUD 1945,positif,12
 Bagaimana kita percaya mau tegas terhadap kabinet semu  anggota kabinet orangnya mulyono,negatif,13
Gue baru sadar Ini kabinet merput kan jumlah mentrinya banyak ye Wamennya juga banyak Ada yang dari PKS,negatif,18
Semangat Rela Berkorban Kabinet Merah Pitih,positif,6
 Itu luhut Zulhas bw anak Org2 ga kompeten itu apa kurang kebal Buktinya masuk kabinet,negatif,16
 Menguat saat pelantikan anjlok saat kabinet gemuk,negatif,8
Jamal Nasir cadang bekas atlet dilantik sertai Kabinet,netral,8
 Akibat kabinet terlalu gemoy,negatif,5
  Kabinet sekarang seharusnya bukan kabinet Indonesia Maju tetapi Kabinet Balas Budi Sah sah saja ingin jadi menteri dari TNI tidak perlu Jendral Tetapi seharusnya sesuai aturan dan UU propesional di bidangnya,negatif,31
Kabinet ga jelas,negatif,3
Kabinet harap cemas,negatif,3
 ganti aja kabinet retwait menjadi kabinet saling sandera belum seminggu uda byk bener dramanya,negatif,15
  Pastikan dulukarena itu statement keluar dari mulut si Hasjim bukan langsung dari PrabowoHasjim itu cuma Pengurus Partai Gerindra bukan anggota kabinet jadi tidak ada wewenang buat menyuarakan,negatif,29
Revolusi Kabinet 48 Kementerian Baru Kekacauan Mengancam Pemerintahan Prabowo  ,negatif,10
Kabinet baru udh release dan org2 di sekitar gw lebih milih ngomongin kucing istana Makin yakin skenario dlm kepala gw kemarin bakal kejadian,negatif,23
Dr kacamata sy kabinet yg gemuk birokrasinya jg lbh muter2 Blm urusan sm instansi non KL lainnya Smg bu menkeu gk tmbh puyeng ini mikir negara dan duitnya seger waras njih bu,negatif,32
Dalam dialog di hadapan pengurus Kadin Ketua Umum Kadin Indonesia  yakin terget pertumbuhan ekonomi 8 persen bisa dicapai karena kabinet diisi orangorang yang kompeten dan melanjutkan capaian yang ada,negatif,30
 Mantep dah mikir target korupsi lbh awal Anda emang top curi start utk pesta korup kabinet baru ,negatif,19
Menyalah kabinet Merah Putih ,positif,4
Memang sih ada Prof2 dari Univ Mentereng di Kabinet Namun coba deh ditelusuri background pendidikan beberapa anggota kabinet Unik2 memang,negatif,20
 Ijazah palsu Uang palsu Sistem palsu KABINET palsu,negatif,9
 Semoga bapak presiden punya sikap yg sama terhadap orang di lingkaran kabinet Anda yg tidak kredibel dan kompeten segera copot tidak pandang bulu,netral,24
 Woiiii 5 tahun Abis ganti kabinet,negatif,7
 Nasi dah jd bubur mukidi sudah berakar melalui fufufafa dan yg masih ada dlm second kabinet brikut para naga yg menguasai bumi Indonesia Kemarin kmn aja skarang baru teriak,negatif,30
 Pks memangemdukung anies saat pilpres kemarin gelora bakal gak terima kalau ada kader pks masuk kabinet,negatif,17
 MBADOOOOOQ SAMPEK MBLUKEK MBLUMEK SAJA DIUMBAR BIKIN OBESITAS DAN OTAK BEBAL DASAR KABINET FUFUFAFA IDEOLOGI DUIT HUEXXXX,negatif,18
