Tweet,Sentimen,Tweet Length
wah gelo baru berapa hari ganti kabinet mentri yg ga capable udh keliatan aja kaga pernah mikirnya takut bgt,negatif,19
 jangan kan october tidak akan dapat selama nya krn prabowo sdh katakan dr mana uangnya sedangkan utan yg dibayar setiap hari triliun aneh nya kabinet nya bisa bengkak begitu banyak orangnya nah dr mana tuh duit bayar gajinya,negatif,40
 gibran langsungblusukan kasih makan siang gratis prabowo langsung mau jalankan di sidang kabinet spt masih dibawah tekanan dan ada yang mengatur beliau,negatif,23
banyak yang menduga pelantikan luhut binsar panjaitan di kabinet ada misi khusus utang budi bayar bodi jaminan investasi china di indonesia,negatif,22
sidang kabinet paripurna prabowo ungkap sejumlah tujuan utama pemerintah sesuai uud ,positif,12
 bagaimana kita percaya mau tegas terhadap kabinet semu anggota kabinet orangnya mulyono,negatif,13
gue baru sadar ini kabinet merput kan jumlah mentrinya banyak ye wamennya juga banyak ada yang dari pks,negatif,18
semangat rela berkorban kabinet merah pitih,positif,6
 itu luhut zulhas bw anak org ga kompeten itu apa kurang kebal buktinya masuk kabinet,negatif,16
 menguat saat pelantikan anjlok saat kabinet gemuk,negatif,8
jamal nasir cadang bekas atlet dilantik sertai kabinet,netral,8
 akibat kabinet terlalu gemoy,negatif,5
 kabinet sekarang seharusnya bukan kabinet indonesia maju tetapi kabinet balas budi sah sah saja ingin jadi menteri dari tni tidak perlu jendral tetapi seharusnya sesuai aturan dan uu propesional di bidangnya,negatif,31
kabinet ga jelas,negatif,3
kabinet harap cemas,negatif,3
 ganti aja kabinet retwait menjadi kabinet saling sandera belum seminggu uda byk bener dramanya,negatif,15
 pastikan dulukarena itu statement keluar dari mulut si hasjim bukan langsung dari prabowohasjim itu cuma pengurus partai gerindra bukan anggota kabinet jadi tidak ada wewenang buat menyuarakan,negatif,29
revolusi kabinet kementerian baru kekacauan mengancam pemerintahan prabowo ,negatif,10
kabinet baru udh release dan org di sekitar gw lebih milih ngomongin kucing istana makin yakin skenario dlm kepala gw kemarin bakal kejadian,negatif,23
dr kacamata sy kabinet yg gemuk birokrasinya jg lbh muter blm urusan sm instansi non kl lainnya smg bu menkeu gk tmbh puyeng ini mikir negara dan duitnya seger waras njih bu,negatif,32
dalam dialog di hadapan pengurus kadin ketua umum kadin indonesia yakin terget pertumbuhan ekonomi persen bisa dicapai karena kabinet diisi orangorang yang kompeten dan melanjutkan capaian yang ada,negatif,30
 mantep dah mikir target korupsi lbh awal anda emang top curi start utk pesta korup kabinet baru ,negatif,19
menyalah kabinet merah putih ,positif,4
memang sih ada prof dari univ mentereng di kabinet namun coba deh ditelusuri background pendidikan beberapa anggota kabinet unik memang,negatif,20
 ijazah palsu uang palsu sistem palsu kabinet palsu,negatif,9
 semoga bapak presiden punya sikap yg sama terhadap orang di lingkaran kabinet anda yg tidak kredibel dan kompeten segera copot tidak pandang bulu,netral,24
 woiiii tahun abis ganti kabinet,negatif,7
 nasi dah jd bubur mukidi sudah berakar melalui fufufafa dan yg masih ada dlm second kabinet brikut para naga yg menguasai bumi indonesia kemarin kmn aja skarang baru teriak,negatif,30
 pks memangemdukung anies saat pilpres kemarin gelora bakal gak terima kalau ada kader pks masuk kabinet,negatif,17
 mbadoooooq sampek mblukek mblumek saja diumbar bikin obesitas dan otak bebal dasar kabinet fufufafa ideologi duit huexxxx,negatif,18
pemimpin boleh berganti tapi harapan rakyat tetap sama keadilan kejujuran dan keberpihakan pada yang lemah semoga kabinet baru bukan hanya sekadar wajah baru tetapi hadir dengan kebijakan yang berpihak pada masa depan bangsa,netral,33
 pak itu ide sangat bagus tapi lebih bagus lagi kalau bapak kerjakan dulu tunggakan ham yg belym terselesaikan tg mungkin jauh lebih baik daripada rencana yg belum dibicarakan dgn presiden dan kabinet ,negatif,36
 pengin dengar jawaban saudaraku yang non kita biarkan saja karena kalah efek kabinet super gemuk tak mungkin dikabulkan masa bodoh jgn lupa komennya,negatif,25
