Tweet,Sentimen,Tweet Length,Tokens
wah gelo baru berapa hari ganti kabinet mentri yg ga capable udh keliatan aja kaga pernah mikirnya takut bgt,negatif,19,"['wah', 'gelo', 'baru', 'berapa', 'hari', 'ganti', 'kabinet', 'mentri', 'yg', 'ga', 'capable', 'udh', 'keliatan', 'aja', 'kaga', 'pernah', 'mikirnya', 'takut', 'bgt']"
 jangan kan october tidak akan dapat selama nya krn prabowo sdh katakan dr mana uangnya sedangkan utan yg dibayar setiap hari triliun aneh nya kabinet nya bisa bengkak begitu banyak orangnya nah dr mana tuh duit bayar gajinya,negatif,40,"['jangan', 'kan', 'october', 'tidak', 'akan', 'dapat', 'selama', 'nya', 'krn', 'prabowo', 'sdh', 'katakan', 'dr', 'mana', 'uangnya', 'sedangkan', 'utan', 'yg', 'dibayar', 'setiap', 'hari', 'triliun', 'aneh', 'nya', 'kabinet', 'nya', 'bisa', 'bengkak', 'begitu', 'banyak', 'orangnya', 'nah', 'dr', 'mana', 'tuh', 'duit', 'bayar', 'gajinya']"
 gibran langsungblusukan kasih makan siang gratis prabowo langsung mau jalankan di sidang kabinet spt masih dibawah tekanan dan ada yang mengatur beliau,negatif,23,"['gibran', 'langsungblusukan', 'kasih', 'makan', 'siang', 'gratis', 'prabowo', 'langsung', 'mau', 'jalankan', 'di', 'sidang', 'kabinet', 'spt', 'masih', 'dibawah', 'tekanan', 'dan', 'ada', 'yang', 'mengatur', 'beliau']"
banyak yang menduga pelantikan luhut binsar panjaitan di kabinet ada misi khusus utang budi bayar bodi jaminan investasi china di indonesia,negatif,22,"['banyak', 'yang', 'menduga', 'pelantikan', 'luhut', 'binsar', 'panjaitan', 'di', 'kabinet', 'ada', 'misi', 'khusus', 'utang', 'budi', 'bayar', 'bodi', 'jaminan', 'investasi', 'china', 'di', 'indonesia']"
sidang kabinet paripurna prabowo ungkap sejumlah tujuan utama pemerintah sesuai uud ,positif,12,"['sidang', 'kabinet', 'paripurna', 'prabowo', 'ungkap', 'sejumlah', 'tujuan', 'utama', 'pemerintah', 'sesuai', 'uud']"
 bagaimana kita percaya mau tegas terhadap kabinet semu anggota kabinet orangnya mulyono,negatif,13,"['bagaimana', 'kita', 'percaya', 'mau', 'tegas', 'terhadap', 'kabinet', 'semu', 'anggota', 'kabinet', 'orangnya', 'mulyono']"
gue baru sadar ini kabinet merput kan jumlah mentrinya banyak ye wamennya juga banyak ada yang dari pks,negatif,18,"['gue', 'baru', 'sadar', 'ini', 'kabinet', 'merput', 'kan', 'jumlah', 'mentrinya', 'banyak', 'ye', 'wamennya', 'juga', 'banyak', 'ada', 'yang', 'dari', 'pks']"
semangat rela berkorban kabinet merah pitih,positif,6,"['semangat', 'rela', 'berkorban', 'kabinet', 'merah', 'pitih']"
 itu luhut zulhas bw anak org ga kompeten itu apa kurang kebal buktinya masuk kabinet,negatif,16,"['itu', 'luhut', 'zulhas', 'bw', 'anak', 'org', 'ga', 'kompeten', 'itu', 'apa', 'kurang', 'kebal', 'buktinya', 'masuk', 'kabinet']"
 menguat saat pelantikan anjlok saat kabinet gemuk,negatif,8,"['menguat', 'saat', 'pelantikan', 'anjlok', 'saat', 'kabinet', 'gemuk']"
jamal nasir cadang bekas atlet dilantik sertai kabinet,netral,8,"['jamal', 'nasir', 'cadang', 'bekas', 'atlet', 'dilantik', 'sertai', 'kabinet']"
 akibat kabinet terlalu gemoy,negatif,5,"['akibat', 'kabinet', 'terlalu', 'gemoy']"
 kabinet sekarang seharusnya bukan kabinet indonesia maju tetapi kabinet balas budi sah sah saja ingin jadi menteri dari tni tidak perlu jendral tetapi seharusnya sesuai aturan dan uu propesional di bidangnya,negatif,31,"['kabinet', 'sekarang', 'seharusnya', 'bukan', 'kabinet', 'indonesia', 'maju', 'tetapi', 'kabinet', 'balas', 'budi', 'sah', 'sah', 'saja', 'ingin', 'jadi', 'menteri', 'dari', 'tni', 'tidak', 'perlu', 'jendral', 'tetapi', 'seharusnya', 'sesuai', 'aturan', 'dan', 'uu', 'propesional', 'di', 'bidangnya']"
kabinet ga jelas,negatif,3,"['kabinet', 'ga', 'jelas']"
kabinet harap cemas,negatif,3,"['kabinet', 'harap', 'cemas']"
 ganti aja kabinet retwait menjadi kabinet saling sandera belum seminggu uda byk bener dramanya,negatif,15,"['ganti', 'aja', 'kabinet', 'retwait', 'menjadi', 'kabinet', 'saling', 'sandera', 'belum', 'seminggu', 'uda', 'byk', 'bener', 'dramanya']"
 pastikan dulukarena itu statement keluar dari mulut si hasjim bukan langsung dari prabowohasjim itu cuma pengurus partai gerindra bukan anggota kabinet jadi tidak ada wewenang buat menyuarakan,negatif,29,"['pastikan', 'dulukarena', 'itu', 'statement', 'keluar', 'dari', 'mulut', 'si', 'hasjim', 'bukan', 'langsung', 'dari', 'prabowohasjim', 'itu', 'cuma', 'pengurus', 'partai', 'gerindra', 'bukan', 'anggota', 'kabinet', 'jadi', 'tidak', 'ada', 'wewenang', 'buat', 'menyuarakan']"
revolusi kabinet kementerian baru kekacauan mengancam pemerintahan prabowo ,negatif,10,"['revolusi', 'kabinet', 'kementerian', 'baru', 'kekacauan', 'mengancam', 'pemerintahan', 'prabowo']"
kabinet baru udh release dan org di sekitar gw lebih milih ngomongin kucing istana makin yakin skenario dlm kepala gw kemarin bakal kejadian,negatif,23,"['kabinet', 'baru', 'udh', 'release', 'dan', 'org', 'di', 'sekitar', 'gw', 'lebih', 'milih', 'ngomongin', 'kucing', 'istana', 'makin', 'yakin', 'skenario', 'dlm', 'kepala', 'gw', 'kemarin', 'bakal', 'kejadian']"
dr kacamata sy kabinet yg gemuk birokrasinya jg lbh muter blm urusan sm instansi non kl lainnya smg bu menkeu gk tmbh puyeng ini mikir negara dan duitnya seger waras njih bu,negatif,32,"['dr', 'kacamata', 'sy', 'kabinet', 'yg', 'gemuk', 'birokrasinya', 'jg', 'lbh', 'muter', 'blm', 'urusan', 'sm', 'instansi', 'non', 'kl', 'lainnya', 'smg', 'bu', 'menkeu', 'gk', 'tmbh', 'puyeng', 'ini', 'mikir', 'negara', 'dan', 'duitnya', 'seger', 'waras', 'njih', 'bu']"
dalam dialog di hadapan pengurus kadin ketua umum kadin indonesia yakin terget pertumbuhan ekonomi persen bisa dicapai karena kabinet diisi orangorang yang kompeten dan melanjutkan capaian yang ada,negatif,30,"['dalam', 'dialog', 'di', 'hadapan', 'pengurus', 'kadin', 'ketua', 'umum', 'kadin', 'indonesia', 'yakin', 'terget', 'pertumbuhan', 'ekonomi', 'persen', 'bisa', 'dicapai', 'karena', 'kabinet', 'diisi', 'orangorang', 'yang', 'kompeten', 'dan', 'melanjutkan', 'capaian', 'yang', 'ada']"
 mantep dah mikir target korupsi lbh awal anda emang top curi start utk pesta korup kabinet baru ,negatif,19,"['mantep', 'dah', 'mikir', 'target', 'korupsi', 'lbh', 'awal', 'anda', 'emang', 'top', 'curi', 'start', 'utk', 'pesta', 'korup', 'kabinet', 'baru']"
menyalah kabinet merah putih ,positif,4,"['menyalah', 'kabinet', 'merah', 'putih']"
memang sih ada prof dari univ mentereng di kabinet namun coba deh ditelusuri background pendidikan beberapa anggota kabinet unik memang,negatif,20,"['memang', 'sih', 'ada', 'prof', 'dari', 'univ', 'mentereng', 'di', 'kabinet', 'namun', 'coba', 'deh', 'ditelusuri', 'background', 'pendidikan', 'beberapa', 'anggota', 'kabinet', 'unik', 'memang']"
 ijazah palsu uang palsu sistem palsu kabinet palsu,negatif,9,"['ijazah', 'palsu', 'uang', 'palsu', 'sistem', 'palsu', 'kabinet', 'palsu']"
 semoga bapak presiden punya sikap yg sama terhadap orang di lingkaran kabinet anda yg tidak kredibel dan kompeten segera copot tidak pandang bulu,netral,24,"['semoga', 'bapak', 'presiden', 'punya', 'sikap', 'yg', 'sama', 'terhadap', 'orang', 'di', 'lingkaran', 'kabinet', 'anda', 'yg', 'tidak', 'kredibel', 'dan', 'kompeten', 'segera', 'copot', 'tidak', 'pandang', 'bulu']"
 woiiii tahun abis ganti kabinet,negatif,7,"['woiiii', 'tahun', 'abis', 'ganti', 'kabinet']"
 nasi dah jd bubur mukidi sudah berakar melalui fufufafa dan yg masih ada dlm second kabinet brikut para naga yg menguasai bumi indonesia kemarin kmn aja skarang baru teriak,negatif,30,"['nasi', 'dah', 'jd', 'bubur', 'mukidi', 'sudah', 'berakar', 'melalui', 'fufufafa', 'dan', 'yg', 'masih', 'ada', 'dlm', 'second', 'kabinet', 'brikut', 'para', 'naga', 'yg', 'menguasai', 'bumi', 'indonesia', 'kemarin', 'kmn', 'aja', 'skarang', 'baru', 'teriak']"
 pks memangemdukung anies saat pilpres kemarin gelora bakal gak terima kalau ada kader pks masuk kabinet,negatif,17,"['pks', 'memangemdukung', 'anies', 'saat', 'pilpres', 'kemarin', 'gelora', 'bakal', 'gak', 'terima', 'kalau', 'ada', 'kader', 'pks', 'masuk', 'kabinet']"
 mbadoooooq sampek mblukek mblumek saja diumbar bikin obesitas dan otak bebal dasar kabinet fufufafa ideologi duit huexxxx,negatif,18,"['mbadoooooq', 'sampek', 'mblukek', 'mblumek', 'saja', 'diumbar', 'bikin', 'obesitas', 'dan', 'otak', 'bebal', 'dasar', 'kabinet', 'fufufafa', 'ideologi', 'duit', 'huexxxx']"
pemimpin boleh berganti tapi harapan rakyat tetap sama keadilan kejujuran dan keberpihakan pada yang lemah semoga kabinet baru bukan hanya sekadar wajah baru tetapi hadir dengan kebijakan yang berpihak pada masa depan bangsa,netral,33,"['pemimpin', 'boleh', 'berganti', 'tapi', 'harapan', 'rakyat', 'tetap', 'sama', 'keadilan', 'kejujuran', 'dan', 'keberpihakan', 'pada', 'yang', 'lemah', 'semoga', 'kabinet', 'baru', 'bukan', 'hanya', 'sekadar', 'wajah', 'baru', 'tetapi', 'hadir', 'dengan', 'kebijakan', 'yang', 'berpihak', 'pada', 'masa', 'depan', 'bangsa']"
 pak itu ide sangat bagus tapi lebih bagus lagi kalau bapak kerjakan dulu tunggakan ham yg belym terselesaikan tg mungkin jauh lebih baik daripada rencana yg belum dibicarakan dgn presiden dan kabinet ,negatif,36,"['pak', 'itu', 'ide', 'sangat', 'bagus', 'tapi', 'lebih', 'bagus', 'lagi', 'kalau', 'bapak', 'kerjakan', 'dulu', 'tunggakan', 'ham', 'yg', 'belym', 'terselesaikan', 'tg', 'mungkin', 'jauh', 'lebih', 'baik', 'daripada', 'rencana', 'yg', 'belum', 'dibicarakan', 'dgn', 'presiden', 'dan', 'kabinet']"
 pengin dengar jawaban saudaraku yang non kita biarkan saja karena kalah efek kabinet super gemuk tak mungkin dikabulkan masa bodoh jgn lupa komennya,negatif,25,"['pengin', 'dengar', 'jawaban', 'saudaraku', 'yang', 'non', 'kita', 'biarkan', 'saja', 'karena', 'kalah', 'efek', 'kabinet', 'super', 'gemuk', 'tak', 'mungkin', 'dikabulkan', 'masa', 'bodoh', 'jgn', 'lupa', 'komennya']"
hashim buka suara soal kabinet gemuk prabowo yang penting output ,netral,11,"['hashim', 'buka', 'suara', 'soal', 'kabinet', 'gemuk', 'prabowo', 'yang', 'penting', 'output']"
 ya kan saya baru jadi menteri jadi saya selama tahun jadi dpr ya kan ya maklumlah baru belajar ujar yandri kepada awak media di istana jelang sidang kabinet jakarta pada rabu mo nulis komentar buat si yandri bingung gw nih hal sgt dasar ja g ngarti,negatif,48,"['ya', 'kan', 'saya', 'baru', 'jadi', 'menteri', 'jadi', 'saya', 'selama', 'tahun', 'jadi', 'dpr', 'ya', 'kan', 'ya', 'maklumlah', 'baru', 'belajar', 'ujar', 'yandri', 'kepada', 'awak', 'media', 'di', 'istana', 'jelang', 'sidang', 'kabinet', 'jakarta', 'pada', 'rabu', 'mo', 'nulis', 'komentar', 'buat', 'si', 'yandri', 'bingung', 'gw', 'nih', 'hal', 'sgt', 'dasar', 'ja', 'g', 'ngarti']"
 hatihati rakyat mengawasi dengan ketat kerja para anggota kabinet merah putih,netral,12,"['hatihati', 'rakyat', 'mengawasi', 'dengan', 'ketat', 'kerja', 'para', 'anggota', 'kabinet', 'merah', 'putih']"
 alokasi anggaran utk kementrian jadi sorotan amp kritik yg pertama selang hari kabinet dilantik makan gratis anggarannya jumbo triliun kmdn kementrianbadan yg urus soal penegakan hukumampdemokrasi pemberantasan kkn dan yg lbh miris anggaran ham t aja kurang,negatif,42,"['alokasi', 'anggaran', 'utk', 'kementrian', 'jadi', 'sorotan', 'amp', 'kritik', 'yg', 'pertama', 'selang', 'hari', 'kabinet', 'dilantik', 'makan', 'gratis', 'anggarannya', 'jumbo', 'triliun', 'kmdn', 'kementrianbadan', 'yg', 'urus', 'soal', 'penegakan', 'hukumampdemokrasi', 'pemberantasan', 'kkn', 'dan', 'yg', 'lbh', 'miris', 'anggaran', 'ham', 't', 'aja', 'kurang']"
 kabinet ramping tapi diisi para professional beneran kabinet pembangunan dari pada kabinet merah kuning hijau diisi para oportunis ungud guoooob tkng kentit zionis dkk ,negatif,26,"['kabinet', 'ramping', 'tapi', 'diisi', 'para', 'professional', 'beneran', 'kabinet', 'pembangunan', 'dari', 'pada', 'kabinet', 'merah', 'kuning', 'hijau', 'diisi', 'para', 'oportunis', 'ungud', 'guoooob', 'tkng', 'kentit', 'zionis', 'dkk']"
 pasti dipecat kalau konsekuen agar tidak menodai kabinet ini,negatif,10,"['pasti', 'dipecat', 'kalau', 'konsekuen', 'agar', 'tidak', 'menodai', 'kabinet', 'ini']"
 kita tunggu kerjakerja nyata kabinet merah putih,netral,10,"['kita', 'tunggu', 'kerjakerja', 'nyata', 'kabinet', 'merah', 'putih']"
 kalo rapat kabinet wamennua tuh ga ikut ya,netral,11,"['kalo', 'rapat', 'kabinet', 'wamennua', 'tuh', 'ga', 'ikut', 'ya']"
inilah salah satu alasan kenapa sri mulyani di pakai lagi di kabinet merah putih presiden harus muter cari utangan untuk membayar utang warisan jokowi miris gak negeri yang katanya kaya raya gemah ripah loh jinawi tapi musti gali lobang tutup lobang,negatif,42,"['inilah', 'salah', 'satu', 'alasan', 'kenapa', 'sri', 'mulyani', 'di', 'pakai', 'lagi', 'di', 'kabinet', 'merah', 'putih', 'presiden', 'harus', 'muter', 'cari', 'utangan', 'untuk', 'membayar', 'utang', 'warisan', 'jokowi', 'miris', 'gak', 'negeri', 'yang', 'katanya', 'kaya', 'raya', 'gemah', 'ripah', 'loh', 'jinawi', 'tapi', 'musti', 'gali', 'lobang', 'tutup', 'lobang']"
 wkwkwkpusing bacanya yg beginian indonesia emas untuk kabinet,netral,9,"['wkwkwkpusing', 'bacanya', 'yg', 'beginian', 'indonesia', 'emas', 'untuk', 'kabinet']"
mari bicara logis terkat kabinet merah putih efisiensi menutup celah koruptif dan hemat anggaran itulah yang menjadi dasar dari mengapa kabinet harus ramping apbn kita defisit triliun mengapa ditambah beban lagi salam akal sehat,negatif,35,"['mari', 'bicara', 'logis', 'terkat', 'kabinet', 'merah', 'putih', 'efisiensi', 'menutup', 'celah', 'koruptif', 'dan', 'hemat', 'anggaran', 'itulah', 'yang', 'menjadi', 'dasar', 'dari', 'mengapa', 'kabinet', 'harus', 'ramping', 'apbn', 'kita', 'defisit', 'triliun', 'mengapa', 'ditambah', 'beban', 'lagi', 'salam', 'akal', 'sehat']"
 mikir dipake pejabat kabinet gemuk aja dah mules tapi jangan lupa pajak juga akan dipakai moles persona fufufafa selama tahun kedepan,negatif,24,"['mikir', 'dipake', 'pejabat', 'kabinet', 'gemuk', 'aja', 'dah', 'mules', 'tapi', 'jangan', 'lupa', 'pajak', 'juga', 'akan', 'dipakai', 'moles', 'persona', 'fufufafa', 'selama', 'tahun', 'kedepan']"
 gue kok gak yakin kalo kabinetnya akan memenuhi harapan rakyat lihatlah kabinet masih di isi orang nya mulyono thanks bude susi kami merindukan ibu untuk bisa berkhidmat lagi untuk nkri tercinta ini ,negatif,35,"['gue', 'kok', 'gak', 'yakin', 'kalo', 'kabinetnya', 'akan', 'memenuhi', 'harapan', 'rakyat', 'lihatlah', 'kabinet', 'masih', 'di', 'isi', 'orang', 'nya', 'mulyono', 'thanks', 'bude', 'susi', 'kami', 'merindukan', 'ibu', 'untuk', 'bisa', 'berkhidmat', 'lagi', 'untuk', 'nkri', 'tercinta', 'ini']"
presiden prabowo subianto memimpin sidang kabinet paripurna pertama di kantor presiden meminta kepada jajaran kementerian dan lembaga untuk memprioritaskan program swasembada pangan ometv cat baim pecat ketuhanan yang maha esa ,netral,33,"['presiden', 'prabowo', 'subianto', 'memimpin', 'sidang', 'kabinet', 'paripurna', 'pertama', 'di', 'kantor', 'presiden', 'meminta', 'kepada', 'jajaran', 'kementerian', 'dan', 'lembaga', 'untuk', 'memprioritaskan', 'program', 'swasembada', 'pangan', 'ometv', 'cat', 'baim', 'pecat', 'ketuhanan', 'yang', 'maha', 'esa']"
 semoga kabinet ini bisa memberikan kinerja yang semaksimal mungkin untuk rakyat,netral,14,"['semoga', 'kabinet', 'ini', 'bisa', 'memberikan', 'kinerja', 'yang', 'semaksimal', 'mungkin', 'untuk', 'rakyat']"
kabinet hurahura pembekalannya pun dilakukan di magelang indikasi megalomania ,negatif,9,"['kabinet', 'hurahura', 'pembekalannya', 'pun', 'dilakukan', 'di', 'magelang', 'indikasi', 'megalomania']"
pak berhati lahitu si bocil sdh terindikasi mencitrakan dirinya pamor anda akan tenggelam dibuatnyajgn asyik urusin badut kabinet itu pak,negatif,21,"['pak', 'berhati', 'lahitu', 'si', 'bocil', 'sdh', 'terindikasi', 'mencitrakan', 'dirinya', 'pamor', 'anda', 'akan', 'tenggelam', 'dibuatnyajgn', 'asyik', 'urusin', 'badut', 'kabinet', 'itu', 'pak']"
 semoga kabinet jowo jokowi prabowo ini di ganti dengan kabinet pak presiden probowo,negatif,14,"['semoga', 'kabinet', 'jowo', 'jokowi', 'prabowo', 'ini', 'di', 'ganti', 'dengan', 'kabinet', 'pak', 'presiden', 'probowo']"
