Tweet,Sentimen,Tweet Length,Tokenized
wah gelo baru berapa hari ganti kabinet mentri yg ga capable udh keliatan aja kaga pernah mikirnya takut bgt,negatif,19,"['ganti', 'kabinet', 'mentri', 'capable', 'keliatan', 'mikirnya', 'takut']"
 jangan kan october tidak akan dapat selama nya krn prabowo sdh katakan dr mana uangnya sedangkan utan yg dibayar setiap hari triliun aneh nya kabinet nya bisa bengkak begitu banyak orangnya nah dr mana tuh duit bayar gajinya,negatif,40,"['october', 'nya', 'prabowo', 'uangnya', 'dibayar', 'triliun', 'aneh', 'nya', 'kabinet', 'nya', 'bengkak', 'orangnya', 'duit', 'bayar', 'gajinya']"
 gibran langsungblusukan kasih makan siang gratis prabowo langsung mau jalankan di sidang kabinet spt masih dibawah tekanan dan ada yang mengatur beliau,negatif,23,"['gibran', 'langsungblusukan', 'kasih', 'makan', 'siang', 'gratis', 'prabowo', 'langsung', 'jalankan', 'sidang', 'kabinet', 'dibawah', 'tekanan', 'mengatur', 'beliau']"
banyak yang menduga pelantikan luhut binsar panjaitan di kabinet ada misi khusus utang budi bayar bodi jaminan investasi china di indonesia,negatif,22,"['menduga', 'pelantikan', 'luhut', 'binsar', 'panjaitan', 'kabinet', 'misi', 'khusus', 'utang', 'bayar', 'jaminan', 'investasi', 'china', 'indonesia']"
sidang kabinet paripurna prabowo ungkap sejumlah tujuan utama pemerintah sesuai uud ,positif,12,"['sidang', 'kabinet', 'paripurna', 'prabowo', 'tujuan', 'utama', 'pemerintah', 'sesuai', 'uud']"
 bagaimana kita percaya mau tegas terhadap kabinet semu anggota kabinet orangnya mulyono,negatif,13,"['percaya', 'kabinet', 'semu', 'anggota', 'kabinet', 'orangnya', 'mulyono']"
gue baru sadar ini kabinet merput kan jumlah mentrinya banyak ye wamennya juga banyak ada yang dari pks,negatif,18,"['sadar', 'kabinet', 'merput', 'mentrinya', 'ye', 'wamennya', 'pks']"
semangat rela berkorban kabinet merah pitih,positif,6,"['semangat', 'rela', 'berkorban', 'kabinet', 'merah', 'pitih']"
 itu luhut zulhas bw anak org ga kompeten itu apa kurang kebal buktinya masuk kabinet,negatif,16,"['luhut', 'zulhas', 'bw', 'anak', 'org', 'kompeten', 'kebal', 'buktinya', 'masuk', 'kabinet']"
 menguat saat pelantikan anjlok saat kabinet gemuk,negatif,8,"['menguat', 'pelantikan', 'anjlok', 'kabinet', 'gemuk']"
jamal nasir cadang bekas atlet dilantik sertai kabinet,netral,8,"['jamal', 'nasir', 'cadang', 'bekas', 'atlet', 'dilantik', 'sertai', 'kabinet']"
 akibat kabinet terlalu gemoy,negatif,5,"['akibat', 'kabinet', 'gemoy']"
 kabinet sekarang seharusnya bukan kabinet indonesia maju tetapi kabinet balas budi sah sah saja ingin jadi menteri dari tni tidak perlu jendral tetapi seharusnya sesuai aturan dan uu propesional di bidangnya,negatif,31,"['kabinet', 'kabinet', 'indonesia', 'maju', 'kabinet', 'balas', 'sah', 'sah', 'menteri', 'tni', 'jendral', 'sesuai', 'aturan', 'uu', 'propesional', 'bidangnya']"
kabinet ga jelas,negatif,3,['kabinet']
kabinet harap cemas,negatif,3,"['kabinet', 'harap', 'cemas']"
 ganti aja kabinet retwait menjadi kabinet saling sandera belum seminggu uda byk bener dramanya,negatif,15,"['ganti', 'kabinet', 'retwait', 'kabinet', 'sandera', 'seminggu', 'uda', 'byk', 'bener', 'dramanya']"
