Tweet,Sentimen,Tweet Length,Tokens,Label_Encoded
wah gelo baru berapa hari ganti kabinet mentri yg ga capable udh keliatan aja kaga pernah mikirnya takut bgt,-1,19,"['ganti', 'kabinet', 'tri', 'capable', 'liat', 'mikirnya', 'takut']",0
 jangan kan october tidak akan dapat selama nya krn prabowo sdh katakan dr mana uangnya sedangkan utan yg dibayar setiap hari triliun aneh nya kabinet nya bisa bengkak begitu banyak orangnya nah dr mana tuh duit bayar gajinya,-1,40,"['october', 'nya', 'prabowo', 'uang', 'bayar', 'triliun', 'aneh', 'nya', 'kabinet', 'nya', 'bengkak', 'orang', 'duit', 'bayar', 'gaji']",0
 gibran langsungblusukan kasih makan siang gratis prabowo langsung mau jalankan di sidang kabinet spt masih dibawah tekanan dan ada yang mengatur beliau,-1,23,"['gibran', 'langsungblusukan', 'kasih', 'makan', 'siang', 'gratis', 'prabowo', 'langsung', 'jalan', 'sidang', 'kabinet', 'bawah', 'tekan', 'atur', 'beliau']",0
banyak yang menduga pelantikan luhut binsar panjaitan di kabinet ada misi khusus utang budi bayar bodi jaminan investasi china di indonesia,-1,22,"['duga', 'lantik', 'luhut', 'binsar', 'panjaitan', 'kabinet', 'misi', 'khusus', 'utang', 'bayar', 'jamin', 'investasi', 'china', 'indonesia']",0
sidang kabinet paripurna prabowo ungkap sejumlah tujuan utama pemerintah sesuai uud ,1,12,"['sidang', 'kabinet', 'paripurna', 'prabowo', 'tuju', 'utama', 'perintah', 'sesuai', 'uud']",2
 bagaimana kita percaya mau tegas terhadap kabinet semu anggota kabinet orangnya mulyono,-1,13,"['percaya', 'kabinet', 'semu', 'anggota', 'kabinet', 'orang', 'mulyono']",0
gue baru sadar ini kabinet merput kan jumlah mentrinya banyak ye wamennya juga banyak ada yang dari pks,-1,18,"['sadar', 'kabinet', 'merput', 'tri', 'ye', 'wamennya', 'pks']",0
semangat rela berkorban kabinet merah pitih,1,6,"['semangat', 'rela', 'korban', 'kabinet', 'merah', 'pitih']",2
 itu luhut zulhas bw anak org ga kompeten itu apa kurang kebal buktinya masuk kabinet,-1,16,"['luhut', 'zulhas', 'bw', 'anak', 'org', 'kompeten', 'kebal', 'bukti', 'masuk', 'kabinet']",0
 menguat saat pelantikan anjlok saat kabinet gemuk,-1,8,"['kuat', 'lantik', 'anjlok', 'kabinet', 'gemuk']",0
jamal nasir cadang bekas atlet dilantik sertai kabinet,0,8,"['jamal', 'nasir', 'cadang', 'bekas', 'atlet', 'lantik', 'serta', 'kabinet']",1
 akibat kabinet terlalu gemoy,-1,5,"['akibat', 'kabinet', 'gemoy']",0
 kabinet sekarang seharusnya bukan kabinet indonesia maju tetapi kabinet balas budi sah sah saja ingin jadi menteri dari tni tidak perlu jendral tetapi seharusnya sesuai aturan dan uu propesional di bidangnya,-1,31,"['kabinet', 'kabinet', 'indonesia', 'maju', 'kabinet', 'balas', 'sah', 'sah', 'menteri', 'tni', 'jendral', 'sesuai', 'atur', 'uu', 'propesional', 'bidang']",0
kabinet ga jelas,-1,3,['kabinet'],0
kabinet harap cemas,-1,3,"['kabinet', 'harap', 'cemas']",0
 ganti aja kabinet retwait menjadi kabinet saling sandera belum seminggu uda byk bener dramanya,-1,15,"['ganti', 'kabinet', 'retwait', 'kabinet', 'sandera', 'minggu', 'uda', 'byk', 'bener', 'drama']",0
 pastikan dulukarena itu statement keluar dari mulut si hasjim bukan langsung dari prabowohasjim itu cuma pengurus partai gerindra bukan anggota kabinet jadi tidak ada wewenang buat menyuarakan,-1,29,"['pasti', 'dulukarena', 'statement', 'mulut', 'hasjim', 'langsung', 'prabowohasjim', 'urus', 'partai', 'gerindra', 'anggota', 'kabinet', 'wewenang', 'suara']",0
revolusi kabinet kementerian baru kekacauan mengancam pemerintahan prabowo ,-1,10,"['revolusi', 'kabinet', 'menteri', 'kacau', 'ancam', 'perintah', 'prabowo']",0
kabinet baru udh release dan org di sekitar gw lebih milih ngomongin kucing istana makin yakin skenario dlm kepala gw kemarin bakal kejadian,-1,23,"['kabinet', 'release', 'org', 'milih', 'ngomongin', 'kucing', 'istana', 'skenario', 'kepala', 'kemarin', 'jadi']",0
dr kacamata sy kabinet yg gemuk birokrasinya jg lbh muter blm urusan sm instansi non kl lainnya smg bu menkeu gk tmbh puyeng ini mikir negara dan duitnya seger waras njih bu,-1,32,"['kacamata', 'sy', 'kabinet', 'gemuk', 'birokrasi', 'lbh', 'muter', 'urus', 'sm', 'instansi', 'non', 'kl', 'smg', 'bu', 'menkeu', 'tmbh', 'puyeng', 'mikir', 'negara', 'duit', 'seger', 'waras', 'njih', 'bu']",0
dalam dialog di hadapan pengurus kadin ketua umum kadin indonesia yakin terget pertumbuhan ekonomi persen bisa dicapai karena kabinet diisi orangorang yang kompeten dan melanjutkan capaian yang ada,-1,30,"['dialog', 'hadap', 'urus', 'kadin', 'ketua', 'kadin', 'indonesia', 'terget', 'tumbuh', 'ekonomi', 'persen', 'capai', 'kabinet', 'isi', 'orangorang', 'kompeten', 'lanjut', 'capai']",0
 mantep dah mikir target korupsi lbh awal anda emang top curi start utk pesta korup kabinet baru ,-1,19,"['mantep', 'mikir', 'target', 'korupsi', 'lbh', 'emang', 'top', 'curi', 'start', 'pesta', 'korup', 'kabinet']",0
menyalah kabinet merah putih ,1,4,"['salah', 'kabinet', 'merah', 'putih']",2
memang sih ada prof dari univ mentereng di kabinet namun coba deh ditelusuri background pendidikan beberapa anggota kabinet unik memang,-1,20,"['prof', 'univ', 'mentereng', 'kabinet', 'coba', 'telusur', 'background', 'didik', 'anggota', 'kabinet', 'unik']",0
 ijazah palsu uang palsu sistem palsu kabinet palsu,-1,9,"['ijazah', 'palsu', 'uang', 'palsu', 'sistem', 'palsu', 'kabinet', 'palsu']",0
 semoga bapak presiden punya sikap yg sama terhadap orang di lingkaran kabinet anda yg tidak kredibel dan kompeten segera copot tidak pandang bulu,0,24,"['moga', 'presiden', 'sikap', 'orang', 'lingkar', 'kabinet', 'kredibel', 'kompeten', 'copot', 'pandang', 'bulu']",1
 woiiii tahun abis ganti kabinet,-1,7,"['woiiii', 'abis', 'ganti', 'kabinet']",0
 nasi dah jd bubur mukidi sudah berakar melalui fufufafa dan yg masih ada dlm second kabinet brikut para naga yg menguasai bumi indonesia kemarin kmn aja skarang baru teriak,-1,30,"['nasi', 'bubur', 'mukidi', 'akar', 'second', 'kabinet', 'brikut', 'naga', 'kuasa', 'bumi', 'indonesia', 'kemarin', 'kmn', 'skarang', 'teriak']",0
 pks memangemdukung anies saat pilpres kemarin gelora bakal gak terima kalau ada kader pks masuk kabinet,-1,17,"['pks', 'memangemdukung', 'anies', 'pilpres', 'kemarin', 'gelora', 'gak', 'terima', 'kader', 'pks', 'masuk', 'kabinet']",0
 mbadoooooq sampek mblukek mblumek saja diumbar bikin obesitas dan otak bebal dasar kabinet fufufafa ideologi duit huexxxx,-1,18,"['mbadoooooq', 'sampek', 'mblukek', 'mblumek', 'umbar', 'bikin', 'obesitas', 'otak', 'bebal', 'dasar', 'kabinet', 'ideologi', 'duit', 'huexxxx']",0
pemimpin boleh berganti tapi harapan rakyat tetap sama keadilan kejujuran dan keberpihakan pada yang lemah semoga kabinet baru bukan hanya sekadar wajah baru tetapi hadir dengan kebijakan yang berpihak pada masa depan bangsa,0,33,"['pimpin', 'ganti', 'harap', 'rakyat', 'adil', 'jujur', 'pihak', 'lemah', 'moga', 'kabinet', 'wajah', 'hadir', 'bijak', 'pihak', 'bangsa']",1
 pak itu ide sangat bagus tapi lebih bagus lagi kalau bapak kerjakan dulu tunggakan ham yg belym terselesaikan tg mungkin jauh lebih baik daripada rencana yg belum dibicarakan dgn presiden dan kabinet ,-1,36,"['ide', 'bagus', 'bagus', 'kerja', 'tunggak', 'ham', 'belym', 'selesai', 'tg', 'rencana', 'bicara', 'presiden', 'kabinet']",0
 pengin dengar jawaban saudaraku yang non kita biarkan saja karena kalah efek kabinet super gemuk tak mungkin dikabulkan masa bodoh jgn lupa komennya,-1,25,"['pengin', 'dengar', 'saudara', 'non', 'biar', 'kalah', 'efek', 'kabinet', 'super', 'gemuk', 'kabul', 'bodoh', 'jgn', 'lupa', 'komennya']",0
hashim buka suara soal kabinet gemuk prabowo yang penting output ,0,11,"['hashim', 'buka', 'suara', 'kabinet', 'gemuk', 'prabowo', 'output']",1
 ya kan saya baru jadi menteri jadi saya selama tahun jadi dpr ya kan ya maklumlah baru belajar ujar yandri kepada awak media di istana jelang sidang kabinet jakarta pada rabu mo nulis komentar buat si yandri bingung gw nih hal sgt dasar ja g ngarti,-1,48,"['menteri', 'dpr', 'maklum', 'ajar', 'yandri', 'awak', 'media', 'istana', 'jelang', 'sidang', 'kabinet', 'jakarta', 'rabu', 'mo', 'nulis', 'komentar', 'yandri', 'bingung', 'sgt', 'dasar', 'ja', 'g', 'ngarti']",0
 hatihati rakyat mengawasi dengan ketat kerja para anggota kabinet merah putih,0,12,"['hatihati', 'rakyat', 'awas', 'ketat', 'kerja', 'anggota', 'kabinet', 'merah', 'putih']",1
 alokasi anggaran utk kementrian jadi sorotan amp kritik yg pertama selang hari kabinet dilantik makan gratis anggarannya jumbo triliun kmdn kementrianbadan yg urus soal penegakan hukumampdemokrasi pemberantasan kkn dan yg lbh miris anggaran ham t aja kurang,-1,42,"['alokasi', 'anggar', 'tri', 'sorot', 'amp', 'kritik', 'selang', 'kabinet', 'lantik', 'makan', 'gratis', 'anggar', 'jumbo', 'triliun', 'kmdn', 'kementrianbadan', 'urus', 'tega', 'hukumampdemokrasi', 'berantas', 'kkn', 'lbh', 'miris', 'anggar', 'ham', 't']",0
 kabinet ramping tapi diisi para professional beneran kabinet pembangunan dari pada kabinet merah kuning hijau diisi para oportunis ungud guoooob tkng kentit zionis dkk ,-1,26,"['kabinet', 'ramping', 'isi', 'professional', 'beneran', 'kabinet', 'bangun', 'kabinet', 'merah', 'kuning', 'hijau', 'isi', 'oportunis', 'ungud', 'guoooob', 'tkng', 'kentit', 'zionis', 'dkk']",0
 pasti dipecat kalau konsekuen agar tidak menodai kabinet ini,-1,10,"['pecat', 'konsekuen', 'noda', 'kabinet']",0
 kita tunggu kerjakerja nyata kabinet merah putih,0,10,"['tunggu', 'kerjakerja', 'nyata', 'kabinet', 'merah', 'putih']",1
 kalo rapat kabinet wamennua tuh ga ikut ya,0,11,"['kalo', 'rapat', 'kabinet', 'wamennua']",1
inilah salah satu alasan kenapa sri mulyani di pakai lagi di kabinet merah putih presiden harus muter cari utangan untuk membayar utang warisan jokowi miris gak negeri yang katanya kaya raya gemah ripah loh jinawi tapi musti gali lobang tutup lobang,-1,42,"['salah', 'alas', 'sri', 'mulyani', 'pakai', 'kabinet', 'merah', 'putih', 'presiden', 'muter', 'cari', 'utang', 'bayar', 'utang', 'waris', 'jokowi', 'miris', 'gak', 'negeri', 'kaya', 'raya', 'gemah', 'ripah', 'loh', 'jawi', 'musti', 'gali', 'lobang', 'tutup', 'lobang']",0
 wkwkwkpusing bacanya yg beginian indonesia emas untuk kabinet,0,9,"['wkwkwkpusing', 'baca', 'indonesia', 'emas', 'kabinet']",1
mari bicara logis terkat kabinet merah putih efisiensi menutup celah koruptif dan hemat anggaran itulah yang menjadi dasar dari mengapa kabinet harus ramping apbn kita defisit triliun mengapa ditambah beban lagi salam akal sehat,-1,35,"['mari', 'bicara', 'logis', 'terkat', 'kabinet', 'merah', 'putih', 'efisiensi', 'tutup', 'celah', 'koruptif', 'hemat', 'anggar', 'dasar', 'kabinet', 'ramping', 'apbn', 'defisit', 'triliun', 'tambah', 'beban', 'salam', 'akal', 'sehat']",0
 mikir dipake pejabat kabinet gemuk aja dah mules tapi jangan lupa pajak juga akan dipakai moles persona fufufafa selama tahun kedepan,-1,24,"['mikir', 'dipake', 'jabat', 'kabinet', 'gemuk', 'mules', 'lupa', 'pajak', 'pakai', 'moles', 'persona', 'depan']",0
 gue kok gak yakin kalo kabinetnya akan memenuhi harapan rakyat lihatlah kabinet masih di isi orang nya mulyono thanks bude susi kami merindukan ibu untuk bisa berkhidmat lagi untuk nkri tercinta ini ,-1,35,"['gak', 'kalo', 'kabinet', 'penuh', 'harap', 'rakyat', 'lihat', 'kabinet', 'isi', 'orang', 'nya', 'mulyono', 'thanks', 'bude', 'sus', 'rindu', 'khidmat', 'nkri', 'cinta']",0
presiden prabowo subianto memimpin sidang kabinet paripurna pertama di kantor presiden meminta kepada jajaran kementerian dan lembaga untuk memprioritaskan program swasembada pangan ometv cat baim pecat ketuhanan yang maha esa ,0,33,"['presiden', 'prabowo', 'subianto', 'pimpin', 'sidang', 'kabinet', 'paripurna', 'kantor', 'presiden', 'jajar', 'menteri', 'lembaga', 'prioritas', 'program', 'swasembada', 'pangan', 'ometv', 'cat', 'baim', 'pecat', 'tuhan', 'maha', 'esa']",1
 semoga kabinet ini bisa memberikan kinerja yang semaksimal mungkin untuk rakyat,0,14,"['moga', 'kabinet', 'kerja', 'maksimal', 'rakyat']",1
kabinet hurahura pembekalannya pun dilakukan di magelang indikasi megalomania ,-1,9,"['kabinet', 'hurahura', 'bekal', 'magelang', 'indikasi', 'megalomania']",0
pak berhati lahitu si bocil sdh terindikasi mencitrakan dirinya pamor anda akan tenggelam dibuatnyajgn asyik urusin badut kabinet itu pak,-1,21,"['hati', 'lahitu', 'bocil', 'indikasi', 'citra', 'pamor', 'tenggelam', 'dibuatnyajgn', 'asyik', 'urusin', 'badut', 'kabinet']",0
 semoga kabinet jowo jokowi prabowo ini di ganti dengan kabinet pak presiden probowo,-1,14,"['moga', 'kabinet', 'jowo', 'jokowi', 'prabowo', 'ganti', 'kabinet', 'presiden', 'probowo']",0
 kabinet halu,-1,3,"['kabinet', 'halu']",0
