Tokenized,Label_Encoded
"['kabinet', 'dewan', 'gendut', 'luar', 'efektivitas', 'mampu', 'anggar', 'negara']",-1
"['rapat', 'kabinet', 'presiden', 'tri', 'ada', 'magelang', 'tgl', 'inap', 'hotel', 'tidur', 'barak', 'tentara', 'dengar', 'bilang', 'kasi', 'suruh', 'tidur', 'barak', 'dalam', 'kepingin', 'tidur', 'barak', 'tentara']",-1
"['kabinet', 'gemuk', 'prabowo', 'panjang', 'jangkau', 'relatif', 'program', 'cepat', 'capai', 'anggar', 'bengkak', 'prabowo', 'evaluasi', 'kerja', 'menteri']",-1
"['selamat', 'ingat', 'sumpah', 'pemuda', 'pemuda', 'kreatif', 'kualitas', 'dar', 'sumpah', 'sama', 'aksi', 'wujud', 'semangat', 'muda', 'maju', 'bangsa', 'indonesia', 'bem', 'indonesia', 'mandiri', 'kabinet', 'abhiprayagana']",0
"['parte', 'usung', 'belio', 'menang', 'milu', 'anggota', 'parlemen', 'tri', 'kabinet', 'bhw', 'belio', 'tugas', 'partai', 'shrsnya', 'plg', 'bertanggungjawab', 'gila']",-1
"['suka', 'banget', 'fokus', 'kabinet', 'merah', 'putih', 'didik', 'anakanak', 'indonesia', 'cerah']",1
"['gimana', 'gak', 'njir', 'kabinet', 'gemuk', 'wakil', 'tri', 'proker', 'butuh', 'biaya', 'gede', 'awas', 'thn', 'dgr', 'korupsi', 'sia', 'pajak', 'bayar', 'makan']",-1
"['presiden', 'prabowo', 'subianto', 'angkat', 'bicara', 'kait', 'banyak', 'menteri', 'kabinet', 'pimpin', 'catat', 'menteri', 'kabinet', 'merah', 'putih']",0
"['susu', 'sapi', 'murni', 'buang', 'sampe', 'ton', 'tri', 'kabinet', 'merah', 'putih', 'suara', 'program', 'makan', 'gizi', 'gratis', 'butuh', 'susu', 'sapi', 'buang']",-1
"['kapasitas', 'jabat', 'atas', 'menteri', 'sekretaris', 'kabinet', 'atas', 'menteri', 'presiden', 'nasehat', 'presiden', 'menteri', 'jabat', 'jeda', 'presiden', 'menteri', 'anggar', 'gaji', 'bagi', 'fungsi', 'struktural']",-1
"['dok', 'bahas', 'menteri', 'nya', 'udah', 'ngablu', 'jabat', 'bahas', 'fufafa', 'jatuh', 'personal', 'kritis', 'pedes', 'kabinet', 'gemoy', 'biar', 'bobot', 'engagement', 'gede', 'kritis', 'doang', 'mubazir', 'dok', 'lihat', 'kritik', 'dok', 'prabs']",-1
"['menteri', 'hukum', 'amp', 'ham', 'menteri', 'imigrasi', 'pisah', 'kabinet', 'kabinet', 'boros', 'anggar', 'gak', 'manfaat', 'jatah', 'kuasa']",-1
"['orang', 'susah', 'masuk', 'kabinet', 'menteri']",-1
"['presiden', 'prabowo', 'subianto', 'jajar', 'menteri', 'kabinet', 'merah', 'putih', 'penting', 'urus', 'pribadi', 'jalan', 'tugas']",0
"['presiden', 'prabowo', 'wajib', 'anggota', 'kabinet', 'merah', 'putih', 'maung', 'garuda', 'presiden', 'prabowo', 'arah', 'maung', 'pakai', 'menteri', 'wakil', 'menteri', 'jabat', 'eselon', 'i', 'kendara', 'dinas', 'supir', 'enak', 'truk', 'rosalia', 'tanggerang', 'malam', 'jumat']",0
"['orang', 'marah', 'negara', 'duit', 'mulu', 'outputnya', 'g', 'asa', 'kkn', 'media', 'massa', 'kabinet', 'gendut', 'boros', 'jabat', 'gak', 'becus', 'masak', 'percaya', 'ngasih', 'uang', 'cari', 'susah', 'payah', 'perintah', 'trust', 'is', 'earned', 'not', 'given', 'ih']",-1
"['sulit', 'baca', 'prabowo', 'janji', 'lambung', 'realistis', 'bas', 'data', 'tolak', 'dng', 'putus', 'mis', 'kabinet', 'obesitas', 'isi', 'misfits', 'amp', 'mismatch', 'prbw', 'bhw', 'bnyk', 'masy', 'sihir', 'dng', 'kunjung', 'ln']",-1
"['moga', 'presiden', 'sikap', 'orang', 'lingkar', 'kabinet', 'kredibel', 'kompeten', 'copot', 'pandang', 'bulu']",0
"['presiden', 'pimpin', 'rapat', 'kabinet', 'merah', 'putih', 'langsung', 'tegesin', 'gak', 'kerja', 'bener', 'copot', 'bantu', 'mulyono', 'byk', 'kabinet', 'tinggal', 'lihat', 'patuh', 'arah', 'kalo', 'copot', 'reputasi', 'baik', 'mrk', 'hancur', 'bukti', 'presiden', 'skr', 'pegang', 'kendali']",-1
['kabinet'],-1
"['isu', 'masuk', 'kabinet', 'prabowo', 'tengah', 'jalan', 'nasdem', 'komitmen', 'politik']",0
"['prabowo', 'uang', 'pribadi', 'retret', 'kabinet', 'merah', 'putih']",0
"['dukung', 'usaha', 'lokal', 'tingkat', 'kerja', 'kabinet']",1
"['duit', 'rakyat', 'bangun', 'pesantren', 'retret', 'kabinet']",-1
"['pimpin', 'sidang', 'kabinet', 'merah', 'putih', 'oktober', 'presiden', 'prabowo', 'subianto', 'kait', 'judi', 'online', 'narkoba', 'selundup', 'korupsi', 'presiden', 'prabowo', 'tegak', 'hukum', 'ragu', 'tindak']",0
"['emg', 'stju', 'tebang', 'plih', 'ad', 'dri', 'kabinet', 'prabowo', 'korup', 'stju', 'tindak', 'bsa', 'dhukum', 'mati', 'ngebelain', 'gara', 'oposisi', 'dmana', 'otak', 'sehat']",-1
"['prabowo', 'kabinet', 'merah', 'putih', 'sidang', 'perdana', 'sadar', 'golong']",0
"['heeem', 'kabinet', 'gerus', 'uang', 'rakyat']",-1
"['kolaborasi', 'akmil', 'jalan', 'lancar', 'pasok', 'listrik', 'gelar', 'retreat', 'kabinet']",1
"['prabowo', 'rapat', 'kabinet', 'merah', 'putih', 'kebal', 'kerja', 'pecat', 'prabowo', 'ingat', 'menteri', 'giat', 'rakyat', 'kurang', 'rapat', 'ceremonial', 'kurang', 'study', 'banding', 'ln', 'prabowo', 'laku', 'efisiensi']",-1
"['selamat', 'pacar', 'udah', 'menteri', 'kabinet', 'merah', 'putih']",-1
"['hebatsayangnya', 'nnt', 'jebak', 'urus', 'bantu', 'nya', 'kabinetsementara', 'tancap', 'citra', 'skenario', 'nya', 'sgt', 'rapi', 'kerah', 'buzzerp', 'medsos', 'propaganda', 'ffff', 'ht', 'prbw', 'emosi', 'fisik', 'nya', 'mmg', 'stimulasi', 'drop']",-1
"['partai', 'kabinet', 'syafrudin']",-1
"['perintah', 'rakyat', 'indonesia', 'harap', 'penuh', 'presiden', 'baik', 'bangsa', 'acak', 'jokowi', 'moga', 'kabinet']",-1
"['jabat', 'eksekutif', 'periode', 'tambah', 'habis', 'konsolidasi', 'kabinet', 'habis', 'politik', 'praktis', 'kerja', 'perintah', 'sisa', 'periode']",-1
"['optimis', 'perintah', 'prabowogibran', 'nonton', 'welcome', 'kabinet', 'merah', 'putih', 'lengkap']",0
"['kabinet', 'merah', 'putih', 'menteri', 'kemenko', 'menteri', 'menteri', 'ubah', 'nomenklatur', 'geser', 'tugas', 'menteri', 'ubah', 'nomenklatur']",0
"['jadwal', 'padat', 'raffi', 'ahmad', 'retreat', 'kabinet', 'akmil', 'magelang', 'via']",0
