Tokenized,Label_Encoded,Prediksi_NB,Prediksi_SVM
"['viva', 'yoga', 'transmigrasi', 'kabinet', 'gemuk', 'prabowogibran']",-1,0,-1
"['mental', 'karakter', 'benah', 'penuh', 'materi', 'cukup', 'acara', 'lantik', 'kabinet', 'kemarin', 'bawa', 'istri', 'x', 'ajang', 'flexing', 'tas', 'bawa']",-1,1,-1
"['kabinet', 'masalah', 'pilih', 'masalah']",-1,1,-1
"['rapat', 'aku', 'alokasi', 'kuota', 'haji', 'adh', 'kabinet', 'cmana', 'yakult', 'cc']",0,-1,-1
"['presiden', 'prabowo', 'arah', 'kabinet', 'merah', 'putih', 'bahas', 'bangun', 'ikn']",0,-1,-1
"['nahhhh', 'kabinet', 'percaya']",1,-1,-1
"['rapat', 'kabinet', 'perdana', 'kel', 'hahaha', 'oke', 'hectic', 'apa', 'tetep', 'jaga', 'kondisi', 'yes', 'btw', 'cantiqnya', 'banget', 'sampe', 'bikin', 'berkatakata']",0,-1,-1
"['kabinet', 'merah', 'putih', 'nilai', 'psi', 'solusi', 'kompleks', 'indonesia']",0,1,1
"['dukung', 'penuh', 'agenda', 'retreat', 'kabinet', 'merah', 'putih', 'hadir', 'aman', 'listrik', 'lapis', 'magelang', 'acara', 'jalan', 'lancar', 'tutup', 'sc']",0,1,1
"['jajar', 'menteri', 'kabinet', 'prabowo', 'keluarga', 'wajib', 'militer', 'contoh', 'masyarakat', 'jiwa', 'patriotik', 'wiirrrr', 'rakyat', 'indonesia', 'juang', 'semenjak', 'jaman', 'jajah']",-1,1,1
"['rencana', 'gagal', 'prb', 'berani', 'undang', 'pdip', 'masuk', 'kabinet', 'gantung', 'berani', 'prb', 'bayang', 'nya']",0,-1,-1
"['rapat', 'kabinet', 'paripurna', 'perdana', 'sore', 'pimpin', 'langsung', 'presiden', 'wapres', 'arah', 'presiden', 'satu', 'sumber', 'hasil', 'bangsa', 'presiden', 'tekan', 'kelola', 'kaya', 'alam']",-1,0,-1
"['presiden', 'prabowo', 'subianto', 'kunjung', 'kerja', 'perdana', 'kota', 'minggu', 'daerah', 'kunjung', 'kabupaten', 'merauke', 'papua', 'selatan', 'kunjung', 'presiden', 'prabowo', 'tinjau', 'langsung', 'proses', 'tanam', 'panen', 'padi']",1,0,0
"['indonesia', 'emas', 'wujud', 'prasyarat', 'klu', 'mimpi', 'yakin', 'rezim', 'bantu', 'arah', 'kabinet', 'the', 'dream', 'team']",-1,1,-1
"['presiden', 'prabowo', 'tekan', 'kerja', 'tim', 'efisiensi', 'sidang', 'kabinet', 'paripurna', 'perdana']",-1,0,0
"['duit', 'pribadi', 'prabowo', 'biar', 'kabinet', 'kuat', 'solid']",1,-1,1
"['bumbu', 'militer', 'parpol', 'dikumpulin', 'kabinet', 'dibengkakin', 'oposisi', 'demo', 'kritisi', 'dibubarin', 'demokrasi', 'depan']",-1,0,-1
"['cak', 'imin', 'bahas', 'ikn', 'rapat', 'perdana', 'kabinet', 'prabowo', 'lanjut']",1,-1,-1
"['isu', 'mimpi', 'menteri', 'agama', 'arah', 'dato', 'nooh', 'gadut', 'amp', 'jakim', 'tulis', 'arah', 'kabinet', 'pmx', 'harap', 'menteri', 'agama', 'cuci', 'tangan', 'arah', 'org', 'lantik', 'menteri', 'kabinet', 'ambik', 'risiko', 'tuduh', 'sgt', 'berat']",0,-1,-1
"['presiden', 'prabowo', 'subianto', 'menteri', 'bidang', 'didik', 'ganti', 'menteri', 'didik', 'budaya', 'riset', 'teknologi', 'mendikbud', 'ristek', 'nadiem', 'makarim', 'jabat', 'selesai', 'menteri', 'didik', 'kabinet', 'prabowo', 'subianto']",0,-1,0
"['pigai', 'amp', 'yandri', 'are', 'pains', 'in', 'as', 'kabinet', 'probowo', 'gibran', 'periode', 'perdana', 'om', 'treatment', 'ps', 'org', 'cocok', 'treatment', 'kasih', 'rizal', 'ramli', 'periode', 'jk', 'kasih', 'target', 'kerja', 'kalo', 'perform', 'tinggal', 'kick', 'ps', 'uji']",0,-1,-1
"['kabinet', 'zaken', 'rezim', 'prabowo', 'sepenuh']",0,-1,-1
"['kabinet', 'hurahura', 'bekal', 'magelang', 'indikasi', 'megalomania']",-1,0,0
"['hatihati', 'rakyat', 'awas', 'ketat', 'kerja', 'anggota', 'kabinet', 'merah', 'putih']",0,-1,0
"['sebut', 'mas', 'menteri', 'menteri', 'kabinet', 'rapat', 'dpr', 'yaa']",0,-1,-1
