"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1868975108372808024","Tue Dec 17 11:02:44 +0000 2024","0","4 orang terluka dibawa dari lokasi. Tank-tank pendudukan menembaki tenda-tenda pengungsi di daerah Mawasi #Rafah . #ICJ_evidence #IsraelIsATerroristState #FreePalestineFromlsraelNOW ==== PPN 12% 6 Fact https://t.co/KoDQF9jgR0","1868975108372808024","https://pbs.twimg.com/ext_tw_video_thumb/1868974042524663810/pu/img/8Tu79f5LP9HH774_.jpg","","in","under the sky  🕊️🎄","0","0","0","https://x.com/still3ve/status/1868975108372808024","1753650234255929344","still3ve"
"1868975090937086319","Tue Dec 17 11:02:40 +0000 2024","0","Rill bjirlah buat kalian2 seng milih 02 bae tu ppn 12% ","1868975090937086319","","","in","","0","0","0","https://x.com/tellmewyw_/status/1868975090937086319","858279507773370368","tellmewyw_"
"1868947055974252693","Tue Dec 17 11:02:21 +0000 2024","0","@TirtoID PPN jadi 12% demi negara bisa menggaji dan ngasih tunjangan puluhan juta buat para mentri dan pejabat pemerintah Yang di dorong buat kerja keras dgn segala potongan tek tek bengek ya kelas menengah ke bawah","1868975014529368276","","TirtoID","in","Indonesia","0","0","0","https://x.com/indiabcd_ef/status/1868975014529368276","1355397149077417984","indiabcd_ef"
"1868894849325580301","Tue Dec 17 11:02:21 +0000 2024","0","@DjolaFix Saat ini harga barang dan jasa juga telah naik karena beban pajak meningkat dap Kondisi ini membuat masyarakat akan menekan pengeluaran. Artinya tingkat konsumsi juga JELAS2 akan terkena dampak dari kenaikan PPN menjadi 12%","1868975012923015313","","DjolaFix","in","Oslo,Soerakarta","0","0","0","https://x.com/vicko_twitt/status/1868975012923015313","341267493","vicko_twitt"
"1868835652718281044","Tue Dec 17 11:01:31 +0000 2024","0","@CNNIndonesia Goblok si sebernya!!! Dengan PPN naik 12% daya beli bakalan turun menjadikan kemiskinan makin meluas Sedangkan tunjangan pejabat makin tinggi Enggak bisa berkaca dari Vietnam negara yg dulu di bawah Indonesia skrng mereka menerapkan PPN 8% yg tadinya 10%","1868974802780004625","","CNNIndonesia","in","","0","0","0","https://x.com/ridwanhanifr/status/1868974802780004625","1251517031704195072","ridwanhanifr"
"1868974797679718892","Tue Dec 17 11:01:30 +0000 2024","0","Ppn naik 12% gak ada yang demo kaya kemarin?","1868974797679718892","","","in","","0","0","0","https://x.com/_justforscroll/status/1868974797679718892","1221753531373215744","_justforscroll"
"1868974734081438185","Tue Dec 17 11:01:15 +0000 2024","0","Berarti isu PPN 12% bener² lagi bikin pusing pemerintah.","1868974734081438185","","","in","","0","0","0","https://x.com/fadjarkim_/status/1868974734081438185","285891093","fadjarkim_"
"1868923737304858990","Tue Dec 17 11:01:12 +0000 2024","0","@irmanurrnurr Abangnya sudah menerapkan PPN 12% duluan itu wkwk...","1868974723545321938","","irmanurrnurr","in","","0","0","0","https://x.com/syarifaks/status/1868974723545321938","1714549616","syarifaks"
"1868674380936700355","Tue Dec 17 11:01:12 +0000 2024","0","@H4T14K4LN4L42 @prabowo @jokowi Janji muluk tak sesuai harapan pejabat di manjakan dengan kenaikan tunjangan dan segala macam anak buah ci bawah cukup hanya menonton sambil gigit jari rakyat yang di beban kan. Cukup sudah kesengsaraan yang di berikan PPN naik 12% rakyat di imingi beras gratis lapangan kerja nol","1868974722001911925","","H4T14K4LN4L42","in","","0","0","0","https://x.com/Sadar_waras/status/1868974722001911925","797735565223284736","Sadar_waras"
"1868974712350498920","Tue Dec 17 11:01:09 +0000 2024","0","Pemerintah secara resmi akan menaikkan PPN 12% mulai 1 Januari 2025 untuk beberapa barang premium seperti yang diinfokan berikut. Gimana menurut pendapatmu Moms? #momsupdate #update #mom #carousel https://t.co/LKA4Xl1ABu","1868974712350498920","https://pbs.twimg.com/media/Ge_ubrAW4AAVLt4.jpg","","in","","0","0","0","https://x.com/kumparanMOM/status/1868974712350498920","929046798315896837","kumparanMOM"
"1868974577130652125","Tue Dec 17 11:00:37 +0000 2024","0","ppn 12% gede bgt ya allah","1868974577130652125","","","in","ENFJ | 日本語を勉強中","0","0","0","https://x.com/mmujigae/status/1868974577130652125","1760143866550976512","mmujigae"
"1868974560974192813","Tue Dec 17 11:00:33 +0000 2024","0","brok ppn 12% berpengaruh besar dalam hidupku dan everyone.... gila bgt yak ini kan ga adil buat kamu menengah ke bawah YANG MENDOMINASI POPULASI INDONESIA.....","1868974560974192813","","","in","","0","0","0","https://x.com/flashbulbmemori/status/1868974560974192813","1632377261151363072","flashbulbmemori"
"1868974460470280210","Tue Dec 17 11:00:09 +0000 2024","0","ini kalo kena ppn 12%jadi berapa ya?","1868974460470280210","","","in","","0","1","0","https://x.com/mistyaugustdawn/status/1868974460470280210","1860584714450665472","mistyaugustdawn"
"1868974420376838382","Tue Dec 17 11:00:00 +0000 2024","0","hidup uda pusing malah ppn 12% nambahin masalah","1868974420376838382","","","in","","0","0","0","https://x.com/astronuts_/status/1868974420376838382","988687358378688513","astronuts_"
"1868974393420087689","Tue Dec 17 10:59:53 +0000 2024","1","ppn 12% bansos di jor2an ..apa ini utk pembodohan RAKYAT @prabowo 11.12 sm seperti @jokowi ?? https://t.co/oo9efRSSeS","1868974393420087689","https://pbs.twimg.com/media/Ge_uTJfbwAA2bOo.jpg","","in","planet lotus😘🌹","0","0","0","https://x.com/bungalotus25/status/1868974393420087689","1566193907355922432","bungalotus25"
"1868973413575897308","Tue Dec 17 10:59:50 +0000 2024","0","@detikcom PPN 12% ","1868974378178036207","","detikcom","und","DKI Jakarta, Indonesia","0","0","0","https://x.com/AleenaDi09/status/1868974378178036207","960109698895630337","AleenaDi09"
"1868974276226806221","Tue Dec 17 10:59:25 +0000 2024","0","Wakil Ketua Komisi XI DPR Minta Pemerintah Perketat Pengawasan Penerapan PPN 12 Persen https://t.co/gDx90oX3A6","1868974276226806221","","","in","Jakarta","0","0","0","https://x.com/Beritasatu/status/1868974276226806221","154102750","Beritasatu"
"1868974092764037298","Tue Dec 17 10:58:42 +0000 2024","0","Tahun depan 12% banget ini ppn?","1868974092764037298","","","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/anabellindah/status/1868974092764037298","707356032","anabellindah"
"1868974023406993444","Tue Dec 17 10:58:25 +0000 2024","1","Capek banget liat masalah ppn 12% belum juga setahun menjabat udah sekacau ini negara.","1868974023406993444","","","in","","0","0","0","https://x.com/maarworld_/status/1868974023406993444","1487709917020442624","maarworld_"
"1868879048853836192","Tue Dec 17 10:58:17 +0000 2024","1","@bladecleaved @rawapplepie sebelum PPN 12% bro ️‼️","1868973990565548508","","bladecleaved","in","","0","0","1","https://x.com/succinyldokja/status/1868973990565548508","1839985636759220224","succinyldokja"
"1868973967945744595","Tue Dec 17 10:58:12 +0000 2024","0","ppn 12% ini sangat horror dibandingkan film horror itu sendiri","1868973967945744595","","","in","she/her","0","0","0","https://x.com/sophielogs/status/1868973967945744595","1474443028559380490","sophielogs"
