"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1868989811673252328","Tue Dec 17 12:01:09 +0000 2024","0","Semoga tumbuh kewarasan di sela-sela PPN 12%","1868989811673252328","","","in","30+ Enh.JJ","0","0","0","https://x.com/Jeeffect_/status/1868989811673252328","1804866663885709312","Jeeffect_"
"1868989808087060986","Tue Dec 17 12:01:09 +0000 2024","0","tadi siang makan di luar sendiri lagi setelah sekian lama ga jalan ngeliat buku menunya ada tulisan dipojok bawah semua harga termasuk ppn 10% langsung mikir kalo taun depan bakal ganti jadi semua harga termasuk ppn 12% ALIAS NAIK HARGANYA PPEK MAKAN GAREM AJA DAH GUE SAT","1868989808087060986","","","in","homophobic — minor dni","0","0","0","https://x.com/hhawje/status/1868989808087060986","1563437680272490497","hhawje"
"1868989795730702501","Tue Dec 17 12:01:06 +0000 2024","0","Abis cari tahu apa buku juga kena imbas kenaikan PPN 12% dan makin bingung. Dasarnya semua buku bebas pajak. Tapi ada pengecualian sama buku-buku yang bertentangan dengan Pancasila SARA pornografi dan lain-lain. Penilaiannya gimana coba?","1868989795730702501","","","in","Surabaya, Indonesia","0","0","0","https://x.com/Edwinfauqon/status/1868989795730702501","433923706","Edwinfauqon"
"1868989739174625307","Tue Dec 17 12:00:52 +0000 2024","0","Pengeluaran terbesar gw tahun ini adalah beli ini barang mana kemarin mas sales nya bilang: beli sekarang ajaa kak sblm PPN naik 12% https://t.co/GnTD9j7DW7","1868989739174625307","https://pbs.twimg.com/media/Ge_8Q3AacAA4ZFh.jpg","","in","she/her","0","0","0","https://x.com/loeychan_sso/status/1868989739174625307","1290961514346606592","loeychan_sso"
"1868988643219767590","Tue Dec 17 12:00:45 +0000 2024","0","@_farradina_ Udah marah dari 2021 soal ppn 12% tapi gak ada yang nanggepin sampe akhirnya tiba juga waktunya semua bakal kena ","1868989707524468948","","_farradina_","in","J-town","0","0","0","https://x.com/dineleanor/status/1868989707524468948","2748686826","dineleanor"
"1868829797759304026","Tue Dec 17 12:00:42 +0000 2024","0","@Heraloebss PPN 12% don'r forget who robs you.","1868989698317992452","","Heraloebss","en","","0","0","0","https://x.com/TAlderian/status/1868989698317992452","1181009883409215488","TAlderian"
"1868989694513758566","Tue Dec 17 12:00:41 +0000 2024","0","serius ini ppn naik 12%?????? gimana kalau skincare ak habis anjritttt malas bgt ak hrus hemat.","1868989694513758566","","","in","✶𓏲ּ꩜ .ᐟ","0","0","0","https://x.com/dolletteaisa/status/1868989694513758566","1590024308268896256","dolletteaisa"
"1868989668106383527","Tue Dec 17 12:00:35 +0000 2024","0","Mohon maaf lagi pada ribut apa? ppn naik bertahap pengajuan dan persetujuannya oleh dpr udah dari 2021 bahwa 2022 jadi 11% dan 2025 jadi 12% coba ketok rumah ketua dpr atau minimal komisi XI dpr ri nya~","1868989668106383527","","","in","","0","0","0","https://x.com/sisilpark61/status/1868989668106383527","1639446551281176576","sisilpark61"
"1868989650721017860","Tue Dec 17 12:00:31 +0000 2024","0","ayo lah demo tolak ppn 12% mumpung aku libur","1868989650721017860","","","in","너의 마음속에","0","0","0","https://x.com/kooquettish/status/1868989650721017860","1206626950745182208","kooquettish"
"1868989622975709525","Tue Dec 17 12:00:24 +0000 2024","1","tante lagi kesepian https://t.co/YQzvcc96hE https://t.co/2TORsNo0R5 https://t.co/nqFqr54DRQ https://t.co/EPd5WtVjPK https://t.co/yv7zxSNNPD https://t.co/lW7ogEZGSm Sore Yuki PPN 12% #keLIAtan https://t.co/ZJcIZlQnB3","1868989622975709525","https://pbs.twimg.com/media/Ge_8J9MbwAA9U86.jpg","","in","Area Doodstream ","0","0","0","https://x.com/alwysdindds/status/1868989622975709525","2264920374","alwysdindds"
"1868856310164602896","Tue Dec 17 12:00:12 +0000 2024","0","@AirinDatangLagi Salah satu yg minta syarat ppn naik jadi 12% ya Bank Dunia","1868989570735624653","","AirinDatangLagi","in","city never sleep","0","0","0","https://x.com/SajaSusanto/status/1868989570735624653","2907293384","SajaSusanto"
"1868989565002039708","Tue Dec 17 12:00:11 +0000 2024","0","Naiknya PPN ke 12% berarti bisa menambah jumlah pengemplang pajak ya. Klo gitu nanti malah bisa menurunkan pendapatan negara dong? Apalagi ada solusi tax amnesty. Klo mau tetep bayar pajak main mata ke petugas pajak supaya pungutannya rendah. Orang seperti Rafael Alun dicari.","1868989565002039708","","","in","","0","0","0","https://x.com/wibowo_choir/status/1868989565002039708","1439092285770113027","wibowo_choir"
"1868989534782038265","Tue Dec 17 12:00:03 +0000 2024","0","PPN naik jadi 12% kaum mendang mending bakal meningkat.","1868989534782038265","","","in","AB","0","1","0","https://x.com/yaudahlahaja/status/1868989534782038265","1421691197488123905","yaudahlahaja"
"1868989524237230518","Tue Dec 17 12:00:01 +0000 2024","0","Wakil Ketua Komisi XI DPR Hanif Dhakiri mengungkap potensi keributan di masyarakat menengah ke bawah dengan adanya wacana kenaikan PPN 12 persen. Hal itu karena rendahnya daya beli masyarakat sedangkan pendapatan cenderung menurun. #detikfinance #DPR #PPN #DayaBeli https://t.co/tEbamO49vy","1868989524237230518","https://pbs.twimg.com/ext_tw_video_thumb/1868871367375859712/pu/img/TB_mmkKGr3CzFTGQ.jpg","","in","Jakarta, Indonesia","0","0","0","https://x.com/detikfinance/status/1868989524237230518","135795460","detikfinance"
"1868989324597117153","Tue Dec 17 11:59:13 +0000 2024","0","PPN 12% + promotor ampas + calo banyak GWS ANJIR GWS","1868989324597117153","","","in","","0","0","0","https://x.com/bearzthecrown/status/1868989324597117153","1692074508436545536","bearzthecrown"
"1868629877265776719","Tue Dec 17 11:58:49 +0000 2024","0","@Mdy_Asmara1701 Bukannya tarif PPN 12% buat kalangan menengah","1868989224076341409","","Mdy_Asmara1701","in","","0","0","0","https://x.com/_heyfaahh/status/1868989224076341409","1461967242048929801","_heyfaahh"
"1868989200927985832","Tue Dec 17 11:58:44 +0000 2024","0","PPN 12% untuk barang barang mewah nyatanya dilapangan SEMUA IKUT NAIK ANJ GGGG!","1868989200927985832","","","in","Kota Semarang, Jawa Tengah","0","0","0","https://x.com/alphaselo/status/1868989200927985832","102730826","alphaselo"
"1868989193483088263","Tue Dec 17 11:58:42 +0000 2024","0","Plis gw pengen jadi DZ biar tajir melintir gaperlu pusing ppn 12% ","1868989193483088263","","","in","","0","0","0","https://x.com/myyangzi/status/1868989193483088263","1294076443324895233","myyangzi"
"1868989183538429958","Tue Dec 17 11:58:40 +0000 2024","0","beli apa ya sblm ppn naik 12%","1868989183538429958","","","in","digidaw","0","0","0","https://x.com/ajuybetot/status/1868989183538429958","1746163930865848320","ajuybetot"
