"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1878996456566309152","Tue Jan 14 02:43:59 +0000 2025","2","Presiden Prabowo Subianto menginginkan kepala daerah terpilih pada Pilkada 2024 mengikuti retreat di Akademi Militer (Akmil) Magelang. Program yang digelar serupa seperti jajaran Kabinet Merah Putih beberapa waktu lalu. POT #inewsroom #inews #news #beritaterkini #retret https://t.co/CmwEip7N6m","1878996456566309152","https://pbs.twimg.com/ext_tw_video_thumb/1878996359183007744/pu/img/QHMjWM7X6VyydZoU.jpg","","in","iNews Tower","0","0","0","https://x.com/officialinews_/status/1878996456566309152","132078023","officialinews_"
"1878976779219800261","Tue Jan 14 01:25:48 +0000 2025","1","Daftar Menteri Perempuan dalam Kabinet Merah Putih (KMP) 2024-2029 Artikel ini menyajikan daftar menteri perempuan dalam Kabinet Merah Putih. Terdapat lima menteri perempuan dari 48 menteri di kabinet Presiden Prabowo Subianto tersebut. https://t.co/hCkox8NzBk","1878976779219800261","","","in","Jakarta Capital Region","0","0","0","https://x.com/DataindonesiaId/status/1878976779219800261","1405348002101792772","DataindonesiaId"
"1878771771115192489","Tue Jan 14 01:25:46 +0000 2025","0","@antaranews Sekelas menteri gak tau ada pelantikan gmn sih kabinet merah putih kok banyak klarifikasi?","1878976769858093175","","antaranews","in","","0","0","0","https://x.com/AlifAwal229217/status/1878976769858093175","1798030742423040001","AlifAwal229217"
"1878970466850996424","Tue Jan 14 01:00:43 +0000 2025","949","Arsip Rudi Sutanto alias Rudi Valinka alias Kurawa Stafsus Menkomdigi @meutya_hafid Kabinet merah putih @prabowo https://t.co/zv2c14Xgab","1878970466850996424","https://pbs.twimg.com/media/GhNxrjvaMAAvrMh.jpg","","in","","31","125","580","https://x.com/ARSIPAJA/status/1878970466850996424","2993008392","ARSIPAJA"
"1878767591143133694","Tue Jan 14 00:49:48 +0000 2025","1","@IyeSifulan86051 @emgininamakuu @Abdoeljegger202 @prabowo @meutya_hafid All isi kabinet merah putih orangnya Jokowi dan fufufafa owner kabinet. Prabowo hanya menyandang gelar presiden tetapi negara dikendalikan oleh Jokowi dan begundal2","1878967717631553568","","IyeSifulan86051","in","Mataram, Indonesia","0","1","0","https://x.com/Ainin1399_NiniN/status/1878967717631553568","1573939692969816064","Ainin1399_NiniN"
"1878812750308417712","Tue Jan 14 00:46:45 +0000 2025","0","@tempodotco Kodok2 pemilharan Jokodok makin eksis di kabinet merah putih. khusus untuk jagain Fufufafa","1878966953613881624","","tempodotco","in","","0","0","0","https://x.com/hezky_2002/status/1878966953613881624","1871428156818911232","hezky_2002"
"1878956969945616574","Tue Jan 14 00:36:35 +0000 2025","1","@AdamVelcro @JamalBoegis @prabowo Ayoooo jilat rame² yar dapat jabatan di era KABINET MERAH PUTIH... Nasionalisme berbungkus rupiah???! Vangke!!!","1878964391712035147","","AdamVelcro","in","Aku menyadari kau tak kembali","0","0","0","https://x.com/TaurusAdalahAku/status/1878964391712035147","195191106","TaurusAdalahAku"
"1878825775748772012","Tue Jan 14 00:29:46 +0000 2025","0","@kompascom Udh lah mending ganti mentri hampir semua mentri kabinet merah putih ini gak ada yg di percaya omongannya","1878962676464001123","","kompascom","in","","0","0","0","https://x.com/bolo32867/status/1878962676464001123","1843440572851466243","bolo32867"
"1878926088652620029","Mon Jan 13 22:04:22 +0000 2025","64","Sepertinya juga membahas ttg penegakan hukum di PIK-2. Faktanya setelah pertemuan tsb Menteri Jokowi di Kabinet Merah Putih (Kabinet Prabowo) langsung melempem.","1878926088652620029","","","in","","0","6","28","https://x.com/msaid_didu/status/1878926088652620029","1117990249806721024","msaid_didu"
"1847650740455821337","Mon Jan 13 22:03:52 +0000 2025","1","@prabowo segera mengambil sikap tegas sbg mantan jendral bahwa partai anak @jokowi @psi_id adalah bagian dari kabinet merah putih @gibran_tweet terpilih krn @psi_id sebagai bentuk rekonsiliasi Nasional jadi jelas merah ya merah putih ya putih dunia data dan terbuka ..","1878925959350673463","","wibisonoys","in","JATIM","0","2","1","https://x.com/wibisonoys/status/1878925959350673463","1604088193196109826","wibisonoys"
"1878772395978477990","Mon Jan 13 19:23:01 +0000 2025","0","@salam4jari Halahh ... pura-pura gak tau. Masa iyaa ngangkat stafsus gak ngecek dulu latar belakangnya? Apalg Rudi Valinka itu doyan ngoceh di medsos. 90% Menteri Kabinet Merah Putih memang TIDAK BERMUTU Diangkat menteri bukan krn punya kemampuan tp krn BALAS BUDI. #komdigi #menkomdigi","1878885481116770594","","salam4jari","in","DKI Jakarta ","0","0","0","https://x.com/fransisca_ning/status/1878885481116770594","1598118226759933952","fransisca_ning"
