"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1880953590422065627","Sun Jan 19 12:30:58 +0000 2025","0","@capekhayati wes termasuk ppn 12% ya iki??","1880956112813592581","","capekhayati","in","","0","1","0","https://x.com/Cak_Genjes/status/1880956112813592581","566023636","Cak_Genjes"
"1880860370929336766","Sun Jan 19 12:20:06 +0000 2025","0","@direktoridosen @Telkomsel @indosat udah dari 1 januari lalu setelah penetapan ppn jadi 12%","1880953378827870589","","direktoridosen","in","","0","0","0","https://x.com/awekensfox/status/1880953378827870589","1752828247992418304","awekensfox"
"1880953301103157661","Sun Jan 19 12:19:48 +0000 2025","0","ini ppn 12% ngaruh ke gas elpiji njir harganya naik","1880953301103157661","","","in","","0","0","0","https://x.com/man_manth00/status/1880953301103157661","1011515463895998464","man_manth00"
"1880240370635927720","Sun Jan 19 12:13:52 +0000 2025","0","@bps_statistics Setelah kenaikan Ppn 12% pengeluaran Rp. 19.841 tdk tergolong kelompok miskin???? Sepertinya kepala @bps_statistics harus secepatnya konsul ke psikiater nih https://t.co/dYk33epPW4","1880951811210875116","https://pbs.twimg.com/media/Ghp7tD7aIAAY5RD.jpg","bps_statistics","in","Riau, Indonesia","0","0","0","https://x.com/Bro_Tonie/status/1880951811210875116","1875517876658192384","Bro_Tonie"
"1880951641798766830","Sun Jan 19 12:13:12 +0000 2025","0","Setelah kenaikan Ppn 12% pengeluaran Rp. 19.841 tdk tergolong kelompok miskin???? Sepertinya kepala @bps_statistics harus secepatnya konsul ke psikiater nih https://t.co/Muba8P668c","1880951641798766830","https://pbs.twimg.com/media/Ghp7jNBbgAAVtge.jpg","","in","Riau, Indonesia","0","0","0","https://x.com/Bro_Tonie/status/1880951641798766830","1875517876658192384","Bro_Tonie"
"1880588674745966678","Sun Jan 19 12:11:55 +0000 2025","0","@bps_statistics Setelah kenaikan Ppn 12% pengeluaran Rp. 19.841 tdk tergolong kelompok miskin???? Sepertinya kepala @bps_statistics harus secepatnya konsul ke psikiater nih https://t.co/pqI53NfZVt","1880951317172195602","https://pbs.twimg.com/media/Ghp7QRDb0AActmr.jpg","bps_statistics","in","Riau, Indonesia","0","0","0","https://x.com/Bro_Tonie/status/1880951317172195602","1875517876658192384","Bro_Tonie"
"1880805625808183731","Sun Jan 19 12:08:47 +0000 2025","0","@DrEvaChaniago Setelah kenaikan Ppn 12% pengeluaran Rp. 19.841 tdk tergolong kelompok miskin???? Sepertinya kepala @bps_statistics harus secepatnya konsul ke psikiater nih ","1880950529913978963","","DrEvaChaniago","in","Riau, Indonesia","0","0","0","https://x.com/Bro_Tonie/status/1880950529913978963","1875517876658192384","Bro_Tonie"
"1880919866569629698","Sun Jan 19 12:07:59 +0000 2025","0","@obejoyfuls IT'S OKAY JUST HAVE SOME GOOD REST AFTER PLAYING ","1880950327249400289","","obejoyfuls","en","SENTUL - MLG","0","0","0","https://x.com/choiruddinH/status/1880950327249400289","237647445","choiruddinH"
"1880948416878153742","Sun Jan 19 12:01:41 +0000 2025","0","oh punya akun twitter juga buat misuh2 fasilitas pedestrian sama kenaikan ppn 12% dan kalo sempet ikut aksi kamisan tp ga dipublish di instastory dia","1880948743769620965","","mezzaquartz","in","typo a lot ","0","0","0","https://x.com/mezzaquartz/status/1880948743769620965","148732918","mezzaquartz"
"1880664770908672130","Sun Jan 19 11:55:26 +0000 2025","0","@Stefanny_Crypto @trumpthecto https://t.co/Ldi6mHavN9","1880947171136286944","https://pbs.twimg.com/media/Ghp3epVbgAQa-3O.jpg","Stefanny_Crypto","qme","","0","0","0","https://x.com/Ppn12persenan/status/1880947171136286944","1875327028859432961","Ppn12persenan"
"1880860370929336766","Sun Jan 19 11:54:31 +0000 2025","1","@indosat @sembilannugget Kecepatan sama saja promo itu misalnya jadi 45 hari kok harinya malah turun bilang aja penyesuaian utk ppn 12 %","1880946938109218864","","indosat","in","Kota Yogyakarta, Yogyakarta","0","0","0","https://x.com/mlakugejayan/status/1880946938109218864","1705127055757910017","mlakugejayan"
"1880651419642134567","Sun Jan 19 11:54:10 +0000 2025","0","@trumpthecto look amazing with this great project let's all do it so that this project is successful $TRUMP CTO","1880946851555446925","","trumpthecto","en","","0","0","0","https://x.com/Ppn12persenan/status/1880946851555446925","1875327028859432961","Ppn12persenan"
"1880934445131370611","Sun Jan 19 11:52:58 +0000 2025","0","@jettpromoter @PiranhaDefi https://t.co/I89PslSf5v","1880946551713153405","https://pbs.twimg.com/media/Ghp26gPb0AE4t_4.jpg","jettpromoter","qme","","0","0","0","https://x.com/Ppn12persenan/status/1880946551713153405","1875327028859432961","Ppn12persenan"
"1880946046463087066","Sun Jan 19 11:50:58 +0000 2025","0"," udah hampir 1 suku Populasi berapa? Sampel berapa?","1880946046463087066","","","in","","0","0","0","https://x.com/psych_89/status/1880946046463087066","1820402911836569600","psych_89"
"1880912234010022396","Sun Jan 19 11:49:29 +0000 2025","0","@TheWignus @ICO_Labs https://t.co/FVtGtmOMx1","1880945675552358885","https://pbs.twimg.com/media/Ghp2HcqaQAA8qv0.jpg","TheWignus","qme","","0","0","0","https://x.com/Ppn12persenan/status/1880945675552358885","1875327028859432961","Ppn12persenan"
"1880945641201016889","Sun Jan 19 11:49:21 +0000 2025","2","WTB WTS JUAL BELI order: https://t.co/QtVoPbjFer NETFLIX CANVA VIU YOUTUBE WETV LOKLOK DISNEY HBO GO VIDIO VISION+ APPLE MUSIC SPOTIFY AMAZON PRIME VIDEO IQIYI YOUKU CAPCUT CHATGPT SCRIBD KOIN COIN LINE SEWA ZOOM PRO #zonauang Malam miftah agus buntung lady koas PPN 12% 66 https://t.co/fMPVi7C1Nj","1880945641201016889","https://pbs.twimg.com/media/Ghp2DzragAASBYx.jpg","","in","","0","0","0","https://x.com/brwinzs/status/1880945641201016889","762380292850155524","brwinzs"
"1880915595061051560","Sun Jan 19 11:48:54 +0000 2025","0","@bunniefied @deGPT_fun https://t.co/neaWDIdnyk","1880945525891187110","https://pbs.twimg.com/media/Ghp1-0ZbIAATCYC.jpg","bunniefied","qme","","0","0","0","https://x.com/Ppn12persenan/status/1880945525891187110","1875327028859432961","Ppn12persenan"
"1880945467997274382","Sun Jan 19 11:48:40 +0000 2025","0","WTB WTS JUAL BELI order: https://t.co/Rikf3eouxf NETFLIX CANVA VIU YOUTUBE WETV LOKLOK DISNEY HBO GO VIDIO VISION+ APPLE MUSIC SPOTIFY AMAZON PRIME VIDEO IQIYI YOUKU CAPCUT CHATGPT SCRIBD KOIN COIN LINE SEWA ZOOM PRO #zonauang Malam miftah agus buntung lady koas PPN 12% 162 https://t.co/es4NZDVXE2","1880945467997274382","https://pbs.twimg.com/media/Ghp17FRbQAAdz0E.jpg","","in","","0","0","0","https://x.com/Naell2407/status/1880945467997274382","1841760486410616833","Naell2407"
"1880932654859907557","Sun Jan 19 11:48:28 +0000 2025","0","@reenezive @PiranhaDefi https://t.co/jJRojCAODa","1880945419662098869","https://pbs.twimg.com/media/Ghp14wNbsAAPCz3.jpg","reenezive","qme","","0","0","0","https://x.com/Ppn12persenan/status/1880945419662098869","1875327028859432961","Ppn12persenan"
"1880945283095490622","Sun Jan 19 11:47:56 +0000 2025","0","Bgst tiket konser ppn nya udah 12%","1880945283095490622","","","in","","0","0","0","https://x.com/LambemuuuS2_/status/1880945283095490622","1739328858745372673","LambemuuuS2_"
"1880945265680822668","Sun Jan 19 11:47:52 +0000 2025","0","WTB WTS JUAL BELI order: https://t.co/BSu4GVBkIJ NETFLIX CANVA VIU YOUTUBE WETV LOKLOK DISNEY HBO GO VIDIO VISION+ APPLE MUSIC SPOTIFY AMAZON PRIME VIDEO IQIYI YOUKU CAPCUT CHATGPT SCRIBD KOIN COIN LINE TEMA LINE #zonauang Pagii Gaza miftah agus buntung lady koas PPN 12% 114 https://t.co/fd8ew9lHR9","1880945265680822668","https://pbs.twimg.com/media/Ghp1vL0bYAAWS1-.jpg","","in","","0","0","0","https://x.com/pektals/status/1880945265680822668","3472116086","pektals"
"1880243051651858521","Sun Jan 19 11:47:50 +0000 2025","0","@FukuriZ @wuwaguy I aspire to be danjin main","1880945257078313282","","FukuriZ","en","SENTUL - MLG","0","0","0","https://x.com/choiruddinH/status/1880945257078313282","237647445","choiruddinH"
"1880935008619401614","Sun Jan 19 11:47:37 +0000 2025","0","@jihanicorn @PiranhaDefi https://t.co/GhGl9JyyMK","1880945205316346368","https://pbs.twimg.com/media/Ghp1sOIa4AA4K8F.jpg","jihanicorn","qme","","0","0","0","https://x.com/Ppn12persenan/status/1880945205316346368","1875327028859432961","Ppn12persenan"
"1880934252805861776","Sun Jan 19 11:47:15 +0000 2025","0","@TheRavenCrypto @Pom_bsc https://t.co/M7ZcBBvFAu","1880945111682744367","https://pbs.twimg.com/media/Ghp1m2EbQAAdIDV.jpg","TheRavenCrypto","qme","","0","0","0","https://x.com/Ppn12persenan/status/1880945111682744367","1875327028859432961","Ppn12persenan"
"1880944935631011941","Sun Jan 19 11:46:33 +0000 2025","0","lagian aneh anak fisip kok ngejilat pemerintah segitunya. pas huru-hara ppn naik jadi 12% itu dia ngebela dengan dalih ngatain orang-orang yg protes itu fomo ???? what the fuck are you talking about","1880944935631011941","","","in","she/her 20. MDNI. ","0","0","0","https://x.com/thealchemhy/status/1880944935631011941","1355877602527862790","thealchemhy"
"1880919866569629698","Sun Jan 19 11:45:01 +0000 2025","0","@obejoyfuls Bro I've seen you on discord playing octopath for 8+ hrs are you sleeping well ","1880944547854987498","","obejoyfuls","en","SENTUL - MLG","0","1","0","https://x.com/choiruddinH/status/1880944547854987498","237647445","choiruddinH"
"1880555605427188214","Sun Jan 19 11:44:50 +0000 2025","0","@RagilSemar Terus ramein mumpung sekarang masih bisa berubah karena masih berusaha menjaga elektabilitas seperti PPN 12 % yang batal kalau sudah periode kedua suara apapun udah ga akan didengar lagi.","1880944501931610226","","RagilSemar","in","sana sini situ","0","0","0","https://x.com/si_ipan/status/1880944501931610226","31703993","si_ipan"
"1880748184764592470","Sun Jan 19 11:43:50 +0000 2025","0","@meguruiii Kayaknya plot-heavy banget ya w belum tertarik tapi nonton rezero daya tariknya apa ya","1880944250042683653","","meguruiii","in","SENTUL - MLG","0","1","0","https://x.com/choiruddinH/status/1880944250042683653","237647445","choiruddinH"
"1880748184764592470","Sun Jan 19 11:40:42 +0000 2025","0","@meguruiii Aku ga nonton rezero dan aku gapaham","1880943462608208199","","meguruiii","in","SENTUL - MLG","0","1","0","https://x.com/choiruddinH/status/1880943462608208199","237647445","choiruddinH"
"1880926242662437224","Sun Jan 19 11:40:22 +0000 2025","1","@footysss @RinaldiBaga Berapa kali Betinho mau nendang bola bolanya harus diangkat dulu? Sama berapa kali Fergonzi kepleset ","1880943377124032928","","footysss","in","London, England","0","0","0","https://x.com/kevinrexanda/status/1880943377124032928","1728103772671602690","kevinrexanda"
"1880943334967115867","Sun Jan 19 11:40:11 +0000 2025","0","@kring_pajak halo min mau nanya. Untuk prosedur pembuatan surat permintaan rekening atas SKPPKP LB SPT PPN apakah sudah bisa disubmit di coretax? Jika sudah ada mohon diinfokan prosedur nya.","1880943334967115867","","kring_pajak","in","","0","0","0","https://x.com/mmtsys12/status/1880943334967115867","595342620","mmtsys12"
"1880926242662437224","Sun Jan 19 11:39:18 +0000 2025","0","@RinaldiBaga @footysss Iki lebih masyuk","1880943109850427595","","RinaldiBaga","in","London, England","0","0","0","https://x.com/kevinrexanda/status/1880943109850427595","1728103772671602690","kevinrexanda"
"1880925289657851911","Sun Jan 19 11:37:20 +0000 2025","0","@artountung @theshooter_id Komentare nganti ngomong Ini pertandingan seperti anak SSB sedang bertanding Efek lapangan kurang oke cetak goal riko jadi tertunda","1880942614532481458","","artountung","in","London, England","0","0","0","https://x.com/kevinrexanda/status/1880942614532481458","1728103772671602690","kevinrexanda"
"1880761190386950537","Sun Jan 19 11:36:18 +0000 2025","1","@kxrriri HAHAHAHAHAHA","1880942356926713863","","kxrriri","tl","SENTUL - MLG","0","0","0","https://x.com/choiruddinH/status/1880942356926713863","237647445","choiruddinH"
"1880941727919509709","Sun Jan 19 11:33:48 +0000 2025","0","WTS WTB READY NETFLIX VIDIO DISNEY CANVA VIU WETV IQIYI APPLEMUSIC YOUTUBE PRIME BSTATION LOKLOK YOUKU HBO GO GET CONTACT SCRIBD CHATGPT SEWA ZOOM PRO MAU BELI? GAS KE LiNK https://t.co/lYWl3wOeOw t. lady koas Gus Miftah PPN 12% Gaza seungkwan #zonauang #zonajajan 106 https://t.co/7cfvhuZdWu","1880941727919509709","https://pbs.twimg.com/media/GhpyhwDbkAATinS.jpg","","in","","0","0","0","https://x.com/zzuneyy/status/1880941727919509709","1871049925234204672","zzuneyy"
"1880477419297185909","Sun Jan 19 11:28:34 +0000 2025","0","@ariaoverthinks Having sense humor ia a must not swnsitif and laugh a lot? Ini mpok Alpa masuk bat kriterianya. Saban tawa mulu tuh kantor yakin gw.","1880940411029803141","","ariaoverthinks","in","","0","0","0","https://x.com/akhmadxfauzi/status/1880940411029803141","405265625","akhmadxfauzi"
"1880938213315141801","Sun Jan 19 11:19:50 +0000 2025","0","keluarga pantek yg baik cuman ibu doang","1880938213315141801","","","in","","0","0","0","https://x.com/kkkkebbab_/status/1880938213315141801","1807475074745925632","kkkkebbab_"
"1880937785110192503","Sun Jan 19 11:18:08 +0000 2025","0","cc pemerentah daripada itu PPN 12% mencekik kan ","1880937785110192503","","","in","Web3","0","0","0","https://x.com/wordgenic/status/1880937785110192503","76799026","wordgenic"
"1880937381857218573","Sun Jan 19 11:16:32 +0000 2025","0","dia bisa hitung ga ya? 12% dari 1.000.000 itu 120.000 dan GA GITUNG ANJJ CARA NGITUNG PPN!","1880937381857218573","","","in","","0","0","0","https://x.com/d_erzy/status/1880937381857218573","1853223721269628928","d_erzy"
"1880809919663993342","Sun Jan 19 11:16:18 +0000 2025","0","@imascaredykat @diarymiakhalifa kasih ppn 12%","1880937322663092338","","imascaredykat","in","magical cheese wizard land","0","1","0","https://x.com/hdrnz/status/1880937322663092338","1116286788","hdrnz"
"1880922805409288513","Sun Jan 19 10:18:37 +0000 2025","0","WTB WTS JUAL BELI order: https://t.co/Rikf3eouxf NETFLIX CANVA VIU YOUTUBE WETV LOKLOK DISNEY HBO GO VIDIO VISION+ APPLE MUSIC SPOTIFY AMAZON PRIME VIDEO IQIYI YOUKU CAPCUT CHATGPT SCRIBD KOIN COIN LINE SEWA ZOOM PRO #zonauang Malam miftah agus buntung lady koas PPN 12% 161 https://t.co/qQ8zGf4924","1880922805409288513","https://pbs.twimg.com/media/GhphUYfb0AAMtym.jpg","","in","","0","0","0","https://x.com/Naell2407/status/1880922805409288513","1841760486410616833","Naell2407"
"1880922351338234049","Sun Jan 19 10:16:49 +0000 2025","0","WTB WTS JUAL BELI order: https://t.co/BSu4GVBkIJ NETFLIX CANVA VIU YOUTUBE WETV LOKLOK DISNEY HBO GO VIDIO VISION+ APPLE MUSIC SPOTIFY AMAZON PRIME VIDEO IQIYI YOUKU CAPCUT CHATGPT SCRIBD KOIN COIN LINE TEMA LINE #zonauang Pagii Gaza miftah agus buntung lady koas PPN 12% 113 https://t.co/Jvl8XMhgCf","1880922351338234049","https://pbs.twimg.com/media/Ghpg5RubAAAceYK.jpg","","in","","0","0","0","https://x.com/pektals/status/1880922351338234049","3472116086","pektals"
"1880922266067939444","Sun Jan 19 10:16:28 +0000 2025","0","WTS WTB READY NETFLIX VIDIO DISNEY CANVA VIU WETV IQIYI APPLEMUSIC YOUTUBE PRIME BSTATION LOKLOK YOUKU HBO GO GET CONTACT SCRIBD CHATGPT SEWA ZOOM PRO MAU BELI? GAS KE LiNK https://t.co/lYWl3wOeOw t. lady koas Gus Miftah PPN 12% Gaza seungkwan #zonauang #zonajajan 105 https://t.co/pIXkRAzX9i","1880922266067939444","https://pbs.twimg.com/media/Ghpg0Z3bcAAOhuN.jpg","","in","","0","0","0","https://x.com/zzuneyy/status/1880922266067939444","1871049925234204672","zzuneyy"
"1880921175498633495","Sun Jan 19 10:12:08 +0000 2025","0","Deretan Mobil Suzuki yang Tidak Kena PPN 12 Persen https://t.co/fJUXMQQE6Z","1880921175498633495","","","in","ÜT: -6.311655,106.753334","0","0","0","https://x.com/detikoto/status/1880921175498633495","80543284","detikoto"
"1880921037979910475","Sun Jan 19 10:11:35 +0000 2025","0","Gmn mksdny makanan yg dibiayain pajak jdi makan gratis?","1880921037979910475","","","in","","0","0","0","https://x.com/Thaharizieq3/status/1880921037979910475","1405789177065525253","Thaharizieq3"
"1880662805839499619","Sun Jan 19 10:06:39 +0000 2025","0","@tirta_cipeng Elliot ga perlu ragu buat starter","1880919794616324099","","tirta_cipeng","in","","0","0","0","https://x.com/Thaharizieq3/status/1880919794616324099","1405789177065525253","Thaharizieq3"
"1880863152797311153","Sun Jan 19 10:01:54 +0000 2025","0","@cabutHeula sejuta buat kamo dipotong pajak 12% dan ppn 11% dan biaya retribusi beserta ongkos bengsin dan rokoknya","1880918599793287408","","cabutHeula","in","Bekasi, Jawa Barat","0","0","0","https://x.com/sodamnIloveyouu/status/1880918599793287408","1798837888572096512","sodamnIloveyouu"
"1880875816340619493","Sun Jan 19 09:58:30 +0000 2025","0","@callum0lame @lamestnico @lerman2lame PPN 12%","1880917743878483977","","callum0lame","und","","0","1","0","https://x.com/larkin1lame/status/1880917743878483977","1866525385149779969","larkin1lame"
"1880905600676007970","Sun Jan 19 09:50:40 +0000 2025","0","@sampingfore @ngalamfess Oalahh yawes sekedar info berarti wkwk","1880915773876793481","","sampingfore","in","SENTUL - MLG","0","0","0","https://x.com/choiruddinH/status/1880915773876793481","237647445","choiruddinH"
"1880912294491889813","Sun Jan 19 09:36:51 +0000 2025","0","Serunya main chatgpt tuh kita bisa manipulasi ai nya biar ngasih jawaban yg seharusnya ga mereka jawab ","1880912294491889813","","","in","SENTUL - MLG","0","0","0","https://x.com/choiruddinH/status/1880912294491889813","237647445","choiruddinH"
"1880817524050182268","Sun Jan 19 09:34:07 +0000 2025","1","@wuwamfs Salfok sama narwhal kuro memang handal bikin soundtrack","1880911605816594913","","wuwamfs","in","SENTUL - MLG","0","0","0","https://x.com/choiruddinH/status/1880911605816594913","237647445","choiruddinH"
"1880911094522478747","Sun Jan 19 09:32:05 +0000 2025","0","Rinascita sebagus ini dibandingin sam gim sebelah pake blackscreen","1880911094522478747","","","in","SENTUL - MLG","0","0","0","https://x.com/choiruddinH/status/1880911094522478747","237647445","choiruddinH"
"1880876680182386730","Sun Jan 19 09:30:45 +0000 2025","1","@pompomfess PPN naik 12% HP inflation 1200% ","1880910761259880777","","pompomfess","in","","0","0","0","https://x.com/ArionSherwynd/status/1880910761259880777","1483275299848859648","ArionSherwynd"
