"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1870541129084727454","Sat Dec 21 18:45:32 +0000 2024","0","Kesukaan kalian ini mah https://t.co/LERJtWlJ9x https://t.co/gNBkUeBq48 https://t.co/0ZXB2GzcO2 https://t.co/IG8eSiaAI9 https://t.co/ZyGooteCPM malam tidur 8 anime mvs sosmed doodstream #MUFC Netflix maljum pagiii pepaya durian Asnawi malming wasit https://t.co/nQjcUvtXHp","1870541129084727454","https://pbs.twimg.com/media/GfV_PnUaAAAjsKV.jpg","","in","‘94.⏐ Na In Woo.","0","0","0","https://x.com/inwmooi/status/1870541129084727454","2694609024","inwmooi"
"1870541080485360108","Sat Dec 21 18:45:21 +0000 2024","0","Zaraaa Cantik dan Beniingg Lohhh ini Rill Cuyy https://t.co/EIXWyCVz11 https://t.co/YuQySimGOS https://t.co/qnWLWeuhZ0 https://t.co/3PKzHz14le https://t.co/sXB4rPHNLX https://t.co/9OkZyCB5jz https://t.co/3SJd58Csam anime manga onepiece netflix mvs doodstream #Super1MViews https://t.co/Gm9IvjrIEu","1870541080485360108","https://pbs.twimg.com/media/GfV_MaibsAEJhE2.jpg","","in","","0","0","0","https://x.com/64O13/status/1870541080485360108","2438198378","64O13"
"1870541048604479887","Sat Dec 21 18:45:13 +0000 2024","0","Xxxrubby Putih Mulus banget https://t.co/SIxDhTr0iw https://t.co/76XaEjdDrY https://t.co/C6X5M5mIeL https://t.co/g9CnE0NhNr https://t.co/EFfEesYyVB https://t.co/lqF6PGlq0v https://t.co/r1eK1Nn9qo Anime manga onepiece netflix mvs doodstream #Super1MViews https://t.co/EUnVcO0xll","1870541048604479887","https://pbs.twimg.com/media/GfV_KWEbIAAU03h.jpg","","en","","0","0","0","https://x.com/64O13/status/1870541048604479887","2438198378","64O13"
"1870541008355868927","Sat Dec 21 18:45:04 +0000 2024","0","Selebgram Bali https://t.co/BZ4wnUL9a7 #doodstream #doodstreamviral #doods","1870541008355868927","","","in","","0","0","0","https://x.com/crawbels/status/1870541008355868927","881538160315912192","crawbels"
"1870540726767149549","Sat Dec 21 18:43:56 +0000 2024","1","Gede poll suka bgt yg kya gini https://t.co/nUbhES3Nbs https://t.co/KdbGFbH9o6 https://t.co/asYnxIdSpb https://t.co/UVYUCK1D0X https://t.co/ZyGooteCPM malam tidur 8 anime mvs sosmed doodstream #MUFC Netflix maljum pagiii pepaya durian Asnawi malming wasit https://t.co/VVdTVqkM0w","1870540726767149549","https://pbs.twimg.com/media/GfV-4LmbcAATuqA.jpg","","in","‘94.⏐ Na In Woo.","0","0","0","https://x.com/inwmooi/status/1870540726767149549","2694609024","inwmooi"
"1870540489956765838","Sat Dec 21 18:43:00 +0000 2024","0","K0NT00L Gedepun Kalah Sama Goyangan CEw33nya - DoodStream https://t.co/5aBWWDLqE2","1870540489956765838","","","in","United States  Seaman, OH","0","0","0","https://x.com/WalterineW78661/status/1870540489956765838","1850129885639122944","WalterineW78661"
"1870538975536091169","Sat Dec 21 18:36:59 +0000 2024","0","Main sama model indo https://t.co/K6AwR2nw2W #DoodStream #doodstreamviral","1870538975536091169","","","it","","0","0","0","https://x.com/crawbels/status/1870538975536091169","881538160315912192","crawbels"
"1870538630110052373","Sat Dec 21 18:35:37 +0000 2024","0","Juliasvrini Mirip Ini Tokyo https://t.co/xw4IVZjdVC https://t.co/1mph79M2Rb https://t.co/DfwhDpd4A9 https://t.co/L9tCj4qzsp https://t.co/kdQBfBXdYR ️ Join Grup https://t.co/1nPZi6tqPW doodstream anime onepiece spotify netflix #Super1MViews #MUFC https://t.co/4UO9aygROu","1870538630110052373","https://pbs.twimg.com/media/GfV8901bcAAYHVh.jpg","","en","","0","0","0","https://x.com/sandalsapit_11/status/1870538630110052373","1565731545654398976","sandalsapit_11"
"1870538476833353787","Sat Dec 21 18:35:00 +0000 2024","7"," https://t.co/06wkH7hqXC https://t.co/Y0AGM0RmrA https://t.co/EbguEGTTWW https://t.co/kn6NyWVHT1 https://t.co/kUKxUxHQya https://t.co/BCDHIHPgfm https://t.co/QcQjeHy5A1 https://t.co/IWYWWncdnf https://t.co/aq1o6Wopik https://t.co/cHr1iyYJYV Kemuliaan","1870538476833353787","","","in","","0","0","1","https://x.com/Gunung2604/status/1870538476833353787","1796813272869732352","Gunung2604"
"1870538270557556903","Sat Dec 21 18:34:11 +0000 2024","0","cimolla versi lengkapnya https://t.co/ssO7m10bBI https://t.co/kVvaUmBVTR https://t.co/deIKzz335Z https://t.co/oJJCV4FOGW https://t.co/jiS69ZFPJR https://t.co/xYGTJsCqVz https://t.co/N3OR4YdkYo https://t.co/R6oU7kQlzx https://t.co/y4113MpHPo anime mufc doodstream #Super1MViews https://t.co/hvpTtpP6wz","1870538270557556903","https://pbs.twimg.com/media/GfV8o9zbQAA46fr.jpg","","in","","0","0","0","https://x.com/leledumbol/status/1870538270557556903","1856041906582761476","leledumbol"
"1870537973634101641","Sat Dec 21 18:33:00 +0000 2024","0","Mem*knya bersih mulus https://t.co/tLNwD4II9r Ng*we Cantik https://t.co/UFe3eFr2Kb Rin Hijab Cantik https://t.co/IxfbGWKkyR Mentok Dikursi https://t.co/LtX8ssjohv Co*mek di Toilet Mall https://t.co/D7NzN6tjI8 Ng*we Gaya Do*gy https://t.co/WqrilFZej6 doodstream","1870537973634101641","","","in","","0","0","0","https://x.com/m2ciz5sr11uzf/status/1870537973634101641","895416606255218688","m2ciz5sr11uzf"
"1870537721686679564","Sat Dec 21 18:32:00 +0000 2024","0","Jalan jalan Dihutan Berujung Ngentod https://t.co/jHgYtXGAHf Meruchan Jago Goyang Black Lingerie - DoodStream https://t.co/qxZe76PrBG","1870537721686679564","","","in","United States  Calhoun, GA","0","0","0","https://x.com/SigourneyM30622/status/1870537721686679564","1850119666032918528","SigourneyM30622"
"1870537208408756343","Sat Dec 21 18:29:58 +0000 2024","1","#5 Alfi matanya sampe keatas - https://t.co/IAP7UVST3v Dek isya main sendiri - https://t.co/jPbCvlC3wE Enak ga mah? - https://t.co/1uUQ5JP2DX #viralvideo #viral #viralindo","1870537208408756343","","","in","","0","0","0","https://x.com/DoodstreamX2/status/1870537208408756343","1863493482536652800","DoodstreamX2"
"1870536929021935846","Sat Dec 21 18:28:51 +0000 2024","2","lagi mabuk diperkaos r4me-rame ▶https://t.co/08E13mOIpB ▶https://t.co/TgMg1nFMIz ▶https://t.co/B9GQMaaiH3 ▶https://t.co/NKPUaK3Osq Celva cybel ometv hijab Giselle syakirah terbaru Spotify doodstream mufc anime one piece video viral Dood poophd","1870536929021935846","","","et","","0","0","0","https://x.com/remembbr/status/1870536929021935846","2584741261","remembbr"
"1870536714743357905","Sat Dec 21 18:28:00 +0000 2024","0","Enak Banget Di Tinggal Berdua Di Rumah-OUT - DoodStream ‍️‍ https://t.co/sbxsO0JBZB 3NT0T STW Kebaya Ungu Di Hotel ‍️‍ https://t.co/jKAxI5JJoj","1870536714743357905","","","in","","0","0","0","https://x.com/ironshaper8386/status/1870536714743357905","1857887492952698881","ironshaper8386"
