Tweet,Tweet Length
Wah gelo baru berapa hari ganti kabinet mentri2 yg ga capable udh keliatan aja kaga pernah mikirnya takut bgt.....,19
@PngAdilnR4kyt Jangan kan October tidak akan dapat selama nya. Krn Prabowo sdh katakan dr mana uangnya sedangkan utan yg dibayar setiap hari 1 triliun aneh nya kabinet nya bisa bengkak begitu banyak orangnya nah dr mana tuh duit bayar gajinya,40
@NarasiNewsroom Gibran langsung.blusukan kasih makan siang gratis prabowo langsung mau jalankan di sidang kabinet spt masih dibawah tekanan dan ada yang mengatur beliau,23
Banyak yang menduga. Pelantikan Luhut Binsar Panjaitan di kabinet ada misi khusus utang budi bayar bodi . Jaminan investasi China di Indonesia.,22
Sidang Kabinet Paripurna Prabowo Ungkap Sejumlah Tujuan Utama Pemerintah Sesuai UUD 1945,12
@CakKhum Bagaimana kita percaya mau tegas terhadap kabinet semuÃ  anggota kabinet orangnya mulyono.,13
Gue baru sadar... Ini kabinet merput kan jumlah mentrinya banyak ye? Wamennya juga banyak... Ada yang dari PKS???,18
Semangat Rela Berkorban Kabinet Merah Pitih,6
@Mdy_Asmara1701 Itu luhut? Zulhas bw anak? Org2 ga kompeten itu apa kurang kebal? Buktinya masuk kabinet,16
@tempodotco Menguat saat pelantikan anjlok saat kabinet gemuk,8
Jamal Nasir cadang bekas atlet dilantik sertai Kabinet,8
@CNNIndonesia Akibat kabinet terlalu gemoy,5
  Kabinet sekarang seharusnya bukan kabinet Indonesia Maju tetapi Kabinet Balas Budi. Sah sah saja ingin jadi menteri dari TNI tidak perlu Jendral. Tetapi seharusnya sesuai aturan dan UU propesional di bidangnya,31
Kabinet ga jelas,3
Kabinet harap cemas,3
@Intel_Imut ganti aja kabinet retwait menjadi kabinet saling sandera belum seminggu uda byk bener dramanya,15
@jatmiko99604253 @CNNIndonesia Pastikan dulu...karena itu statement keluar dari mulut si Hasjim bukan langsung dari Prabowo...Hasjim itu cuma Pengurus Partai Gerindra bukan anggota kabinet jadi tidak ada wewenang buat menyuarakan....,29
Revolusi Kabinet! 48 Kementerian Baru Kekacauan Mengancam Pemerintahan Prabowo ? ,10
Kabinet baru udh release dan org2 di sekitar gw lebih milih ngomongin kucing istana. Makin yakin skenario dlm kepala gw kemarin bakal kejadian.,23
Dr kacamata sy kabinet yg gemuk birokrasinya jg lbh muter2. Blm urusan sm instansi non K/L lainnya. Smg bu menkeu gk tmbh puyeng ini mikir negara dan duitnya ....seger waras njih bu,32
Dalam dialog di hadapan pengurus Kadin Ketua Umum Kadin Indonesia @anindyabakrie yakin terget pertumbuhan ekonomi 8 persen bisa dicapai karena kabinet diisi orang-orang yang kompeten dan melanjutkan capaian yang ada.,30
@V3g3L Mantep dah mikir target korupsi lbh awal! Anda emang top curi start utk pesta korup kabinet baru @NataliusPigai2,19
Menyalah kabinet Merah Putih ,4
Memang sih ada Prof2 dari Univ Mentereng di Kabinet...... Namun coba deh ditelusuri background pendidikan beberapa anggota kabinet... Unik2 memang...,20
@QuoteAja Ijazah palsu Uang palsu Sistem palsu KABINET palsu,9
@CakKhum Semoga bapak presiden punya sikap yg sama terhadap orangÂ² di lingkaran kabinet Anda yg tidak kredibel dan kompeten segera copot tidak pandang bulu.,24
@yusuf_dumdum Woiiii... 5 tahun.... Abis ganti kabinet,7
@rachlannashidik Nasi dah jd bubur mukidi sudah berakar melalui fufufafa dan yg masih ada dlm second kabinet brikut para naga yg menguasai bumi Indonesia. Kemarin kmn aja skarang baru teriak....,30
@BosPurwa Pks memangemdukung anies saat pilpres kemarin gelora bakal gak terima kalau ada kader pks masuk kabinet.,17
@kumparan MBADOOOOOQ SAMPEK MBLUKEK MBLUMEK SAJA DIUMBAR. BIKIN OBESITAS DAN OTAK BEBAL. DASAR KABINET FUFUFAFA IDEOLOGI DUIT. HUEXXXX,18
Pemimpin boleh berganti tapi harapan rakyat tetap sama: keadilan kejujuran dan keberpihakan pada yang lemah. Semoga kabinet baru bukan hanya sekadar wajah baru tetapi hadir dengan kebijakan yang berpihak pada masa depan bangsa,33
@NataliusPigai2 @NataliusPigai2 pak itu ide sangat bagus ! Tapi lebih bagus lagi kalau bapak kerjakan dulu tunggakan2 HAM yg belym terselesaikan tg mungkin jauh lebih baik daripada rencana yg belum dibicarakan dgn presiden dan kabinet !,36
